"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS","AVG_REC_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"22",4,"Tyler Lockett",SEA,"10.3","8.3","6.3","65.9","0.6","0.0","0.0","0.0"
"23",4,"Brandon Aiyuk",SF,"10.4","8.0","5.0","62.3","0.4","0.5","6.4","0.2"
"24",4,"Tee Higgins",CIN,"8.0","6.8","4.2","56.8","0.4","0.3","1.8","0.0"
"25",4,"Odell Beckham Jr.",CLE,"9.1","6.1","3.3","45.6","0.4","0.4","10.3","0.1"
"26",4,"Diontae Johnson",PIT,"8.9","9.6","5.9","61.5","0.5","0.2","1.0","0.0"
"27",4,"Courtland Sutton",DEN,"6.6","6.0","3.0","66.0","0.0","0.0","0.0","0.0"
"28",5,"Chase Claypool",PIT,"9.6","6.8","3.9","54.6","0.6","0.6","1.0","0.1"
"29",5,"Ja'Marr Chase",CIN,"0","0","0","0","0","0","0","0"
"30",5,"D.J. Chark Jr.",JAC,"7.7","7.2","4.1","54.3","0.4","0.0","0.0","0.0"
"31",5,"Jerry Jeudy",DEN,"6.6","7.1","3.3","53.5","0.2","0.0","0.0","0.0"
"32",5,"Robby Anderson",CAR,"8.1","8.5","5.9","68.5","0.2","0.3","0.9","0.0"
"33",5,"Deebo Samuel",SF,"6.8","6.3","4.7","55.9","0.1","1.1","3.7","0.0"
"34",5,"JuJu Smith-Schuster",PIT,"8.6","8.0","6.1","51.9","0.6","0.0","0.0","0.0"
"35",5,"Will Fuller V",MIA,"12.4","6.8","4.8","79.9","0.7","0.1","0.0","0.0"
"36",5,"Brandin Cooks",HOU,"10.1","7.9","5.4","76.7","0.4","0.0","0.0","0.0"
"37",5,"Tyler Boyd",CIN,"7.6","7.3","5.3","56.1","0.3","0.3","3.3","0.0"
"38",5,"Curtis Samuel",WAS,"9.0","6.5","5.1","56.7","0.2","2.7","13.3","0.1"
"39",5,"DeVonta Smith",PHI,"0","0","0","0","0","0","0","0"
"40",6,"Mike Williams",LAC,"7.0","5.7","3.2","50.4","0.3","0.1","0.1","0.0"
"41",6,"Jarvis Landry",CLE,"7.7","6.7","4.8","56.0","0.2","0.3","0.7","0.1"
"42",6,"Michael Thomas",NO,"6.3","7.9","5.7","62.6","0.0","0.1","0.1","0.0"
"43",6,"Michael Gallup",DAL,"7.1","6.6","3.7","52.7","0.3","0.0","0.0","0.0"
"44",6,"Laviska Shenault Jr.",JAC,"7.1","5.6","4.1","42.9","0.4","1.3","6.5","0.0"
"45",6,"DeVante Parker",MIA,"7.4","7.4","4.5","56.6","0.3","0.0","0.0","0.0"
"46",6,"Marquise Brown",BAL,"7.8","6.3","3.6","48.1","0.5","0.1","0.1","0.0"
"47",6,"Corey Davis",NYJ,"9.0","6.6","4.6","70.3","0.4","0.0","0.0","0.0"
"48",6,"Antonio Brown",TB,"9.0","7.8","5.6","60.4","0.5","0.3","-0.3","0.0"
"49",6,"Michael Pittman Jr.",IND,"4.5","4.7","3.1","38.7","0.1","0.2","2.0","0.0"
"50",6,"Marvin Jones Jr.",JAC,"9.5","7.2","4.8","61.1","0.6","0.0","0.0","0.0"
"51",6,"Jaylen Waddle",MIA,"0","0","0","0","0","0","0","0"
"52",6,"T.Y. Hilton",IND,"7.2","6.2","3.7","50.8","0.3","0.0","0.0","0.0"
"53",6,"Mecole Hardman",KC,"5.4","3.9","2.6","35.0","0.3","0.3","1.9","0.0"
"54",6,"Darnell Mooney",CHI,"5.7","6.1","3.8","39.4","0.3","0.3","1.3","0.0"
"55",6,"Henry Ruggs III",LV,"4.5","3.3","2.0","34.8","0.2","0.7","3.8","0.0"
"56",7,"John Brown",LV,"7.1","5.8","3.7","50.9","0.3","0.0","0.0","0.0"
"57",7,"Jalen Reagor",PHI,"5.1","4.9","2.8","36.0","0.1","0.4","2.4","0.0"
"58",7,"Nelson Agholor",NE,"8.6","5.1","3.0","56.0","0.5","0.0","0.0","0.0"
"59",7,"Tre'Quan Smith",NO,"4.9","3.6","2.4","32.0","0.3","0.1","0.2","0.0"
"60",7,"Cole Beasley",BUF,"8.4","7.1","5.5","64.5","0.3","0.0","0.0","0.0"
"61",7,"Gabriel Davis",BUF,"6.4","3.9","2.2","37.4","0.4","0.1","0.0","0.0"
"62",7,"Rashod Bateman",BAL,"0","0","0","0","0","0","0","0"
"63",7,"Russell Gage",ATL,"6.8","6.8","4.5","49.1","0.3","0.1","0.6","0.0"
"64",7,"Christian Kirk",ARI,"7.0","5.6","3.4","44.4","0.4","0.1","0.2","0.0"
"65",7,"Sterling Shepard",NYG,"8.0","7.5","5.5","54.7","0.3","0.5","4.1","0.1"
"66",7,"Jamison Crowder",NYJ,"9.4","7.4","4.9","58.3","0.5","0.1","1.2","0.0"
"67",7,"Parris Campbell",IND,"4.3","4.5","3.0","35.5","0.0","1.0","8.0","0.0"
"68",7,"Breshad Perriman",DET,"5.8","5.0","2.5","42.1","0.3","0.1","0.5","0.0"
"69",7,"Allen Lazard",GB,"6.5","4.6","3.3","45.1","0.3","0.2","1.7","0.0"
"70",7,"Darius Slayton",NYG,"5.7","6.0","3.1","46.9","0.2","0.1","-0.1","0.0"
"71",7,"Elijah Moore",NYJ,"0","0","0","0","0","0","0","0"
"72",7,"Emmanuel Sanders",BUF,"7.4","5.9","4.4","51.9","0.4","0.1","0.9","0.0"
"73",7,"Rondale Moore",ARI,"0","0","0","0","0","0","0","0"
"74",7,"Jakobi Meyers",NE,"6.0","5.8","4.2","52.1","0.0","0.1","0.6","0.0"
"75",7,"Denzel Mims",NYJ,"4.2","4.9","2.6","39.7","0.0","0.0","0.0","0.0"
"76",8,"Bryan Edwards",LV,"2.1","1.3","0.9","16.1","0.1","0.0","0.0","0.0"
"77",8,"Marquez Valdes-Scantling",GB,"6.5","3.9","2.1","43.1","0.4","0.3","0.8","0.0"
"78",8,"A.J. Green",ARI,"4.0","6.5","2.9","32.7","0.1","0.0","0.0","0.0"
"79",8,"Sammy Watkins",BAL,"5.1","5.5","3.7","42.1","0.2","0.1","0.3","0.0"
"80",8,"Amon-Ra St. Brown",DET,"0","0","0","0","0","0","0","0"
"81",8,"Terrace Marshall Jr.",CAR,"0","0","0","0","0","0","0","0"
"82",8,"Josh Reynolds",TEN,"4.5","5.1","3.3","38.6","0.1","0.1","0.3","0.0"
"83",8,"DeSean Jackson",LAR,"6.2","5.2","2.8","47.2","0.2","0.2","2.4","0.0"
"84",8,"Randall Cobb",GB,"6.2","4.8","3.8","44.1","0.3","0.0","0.0","0.0"
"85",8,"Tim Patrick",DEN,"7.3","5.3","3.4","49.5","0.4","0.0","0.0","0.0"
"86",8,"KJ Hamler",DEN,"4.6","4.3","2.3","29.3","0.2","0.7","3.1","0.0"
"87",8,"Anthony Miller",HOU,"3.7","4.8","3.1","30.3","0.1","0.1","0.8","0.0"
"88",8,"Van Jefferson",LAR,"1.7","1.9","1.2","13.8","0.1","0.1","-0.1","0.0"
"89",8,"Hunter Renfrow",LV,"4.7","4.8","3.5","41.0","0.1","0.0","0.0","0.0"
"90",8,"Tyrell Williams",DET,"0","0","0","0","0","0","0","0"
"91",8,"James Washington",PIT,"4.3","3.5","1.9","24.5","0.3","0.0","0.0","0.0"
"92",8,"Kadarius Toney",NYG,"0","0","0","0","0","0","0","0"
"93",8,"Amari Rodgers",GB,"0","0","0","0","0","0","0","0"
"94",8,"Preston Williams",MIA,"7.1","4.4","2.3","36.0","0.5","0.0","0.0","0.0"
"95",8,"Rashard Higgins",CLE,"6.5","4.0","2.8","46.1","0.3","0.0","0.0","0.0"
"96",8,"Zach Pascal",IND,"5.8","4.4","2.8","39.3","0.3","0.0","0.0","0.0"
"97",8,"Kendrick Bourne",NE,"5.4","4.9","3.3","44.5","0.1","0.0","0.0","0.0"
"98",8,"Keke Coutee",HOU,"6.8","5.0","4.1","50.0","0.4","0.0","0.0","0.0"
"99",8,"Travis Fulgham",PHI,"6.0","5.2","2.9","41.5","0.3","0.0","0.0","0.0"
"100",8,"Nico Collins",HOU,"0","0","0","0","0","0","0","0"
"101",8,"N'Keal Harry",NE,"2.9","4.1","2.4","22.1","0.1","0.1","0.0","0.0"
"102",8,"Quintez Cephus",DET,"3.6","2.7","1.5","26.8","0.2","0.0","0.0","0.0"
"103",8,"Tyron Johnson",LAC,"5.0","2.2","1.7","33.2","0.3","0.3","1.4","0.0"
"104",9,"Keelan Cole Sr.",NYJ,"6.3","5.5","3.4","40.1","0.3","0.1","0.1","0.0"
"105",9,"Scotty Miller",TB,"4.3","3.3","2.1","31.3","0.2","0.2","0.9","0.0"
"106",9,"Donovan Peoples-Jones",CLE,"3.7","1.7","1.2","25.3","0.2","0.0","0.0","0.0"
"107",9,"Andy Isabella",ARI,"2.6","2.7","1.6","17.2","0.2","0.1","-0.5","0.0"
"108",9,"D'Wayne Eskridge",SEA,"0","0","0","0","0","0","0","0"
"109",9,"Greg Ward",PHI,"5.0","4.9","3.3","26.2","0.4","0.1","-0.3","0.0"
"110",9,"Miles Boykin",BAL,"3.2","2.1","1.2","16.6","0.3","0.0","0.0","0.0"
"111",9,"John Ross",NYG,"0.6","2.3","0.7","5.7","0.0","0.0","0.0","0.0"
"112",9,"Dyami Brown",WAS,"0","0","0","0","0","0","0","0"
"113",9,"Demarcus Robinson",KC,"4.2","3.9","3.0","31.1","0.2","0.0","0.0","0.0"
"114",9,"Marquez Callaway",NO,"1.9","2.5","1.9","19.4","0.0","0.0","0.0","0.0"
"115",9,"Byron Pringle",KC,"2.3","1.4","1.1","13.3","0.1","0.0","0.0","0.0"
"116",9,"Olamide Zaccheaus",ATL,"3.0","2.9","1.8","24.9","0.1","0.1","0.0","0.0"
"117",9,"Lynn Bowden Jr.",MIA,"2.6","3.7","2.8","21.1","0.0","0.9","3.2","0.0"
"118",10,"Jalen Guyton",LAC,"4.3","3.4","1.8","31.9","0.2","0.1","0.0","0.0"
"119",10,"Josh Palmer",LAC,"0","0","0","0","0","0","0","0"
"120",10,"Steven Sims Jr.",WAS,"2.5","3.1","2.3","22.1","0.1","0.1","1.5","0.0"
"121",10,"Cordarrelle Patterson",ATL,"3.0","1.6","1.3","8.3","0.0","4.0","14.5","0.1"
"122",10,"Tutu Atwell",LAR,"0","0","0","0","0","0","0","0"
"123",10,"Antonio Gandy-Golden",WAS,"0.4","1.2","0.2","0.5","0.0","0.2","3.7","0.0"
"124",10,"Dede Westbrook",MIN,"-0.8","0.5","0.5","2.0","0.0","0.0","0.0","0.0"
"125",10,"Tyler Johnson",TB,"2.1","1.2","0.9","12.1","0.1","0.0","0.0","0.0"
"126",10,"Golden Tate",FA,"4.3","4.3","2.9","32.3","0.2","0.0","0.0","0.0"
"127",10,"Deonte Harris",NO,"3.1","2.8","2.2","20.7","0.1","0.7","5.7","0.0"
"128",10,"Tylan Wallace",BAL,"0","0","0","0","0","0","0","0"
"129",10,"Devin Duvernay",BAL,"2.1","1.6","1.3","12.6","0.0","0.3","4.4","0.0"
"130",10,"Larry Fitzgerald",FA,"3.6","5.5","4.2","31.5","0.1","0.0","0.0","0.0"
"131",10,"Jalen Hurd",SF,"0","0","0","0","0","0","0","0"
"132",10,"Danny Amendola",FA,"4.3","4.9","3.3","43.0","0.0","0.1","0.1","0.0"
"133",10,"Adam Humphries",WAS,"5.0","5.0","3.3","32.6","0.3","0.1","0.0","0.0"
"134",10,"Collin Johnson",JAC,"2.9","2.2","1.3","19.4","0.1","0.0","0.0","0.0"
"135",10,"Dez Fitzpatrick",TEN,"0","0","0","0","0","0","0","0"
"136",10,"Alshon Jeffery",FA,"2.5","1.9","0.9","16.4","0.1","0.0","0.0","0.0"
"137",10,"Cornell Powell",KC,"0","0","0","0","0","0","0","0"
"138",10,"Auden Tate",CIN,"1.7","2.4","1.6","16.7","0.0","0.0","0.0","0.0"
"139",10,"David Moore",CAR,"5.2","2.9","2.2","26.1","0.4","0.5","3.8","0.0"
"140",10,"Chris Conley",HOU,"3.8","4.2","2.7","31.4","0.1","0.0","0.0","0.0"
"141",10,"Anthony Schwartz",CLE,"0","0","0","0","0","0","0","0"
"142",10,"Cam Sims",WAS,"3.4","3.0","2.0","29.8","0.1","0.1","0.3","0.0"
"143",10,"Dazz Newsome",CHI,"0","0","0","0","0","0","0","0"
"144",10,"Ihmir Smith-Marsette",MIN,"0","0","0","0","0","0","0","0"
"145",10,"Olabisi Johnson",MIN,"1.3","1.2","0.9","11.8","0.0","0.0","0.0","0.0"
"146",10,"Willie Snead IV",LV,"4.7","3.7","2.5","33.2","0.2","0.0","0.0","0.0"
"147",11,"Kenny Stills",BUF,"2.0","1.9","1.1","14.4","0.1","0.0","0.0","0.0"
"148",11,"Equanimeous St. Brown",GB,"1.5","1.1","0.6","9.8","0.1","0.1","0.6","0.0"
"149",11,"Devin Funchess",GB,"0","0","0","0","0","0","0","0"
"150",11,"Isaiah McKenzie",BUF,"4.3","2.1","1.9","17.6","0.3","0.6","0.6","0.0"
"151",11,"Damiere Byrd",CHI,"4.2","4.8","2.9","37.8","0.1","0.1","0.9","0.0"
"152",11,"Richie James Jr.",SF,"3.8","3.2","2.1","35.8","0.1","0.0","0.0","0.0"
"153",11,"Simi Fehoko",DAL,"0","0","0","0","0","0","0","0"
"154",11,"Cedrick Wilson",DAL,"2.2","1.8","1.1","11.8","0.1","0.2","-0.8","0.0"
"155",11,"Lil'Jordan Humphrey",NO,"3.5","1.7","1.0","15.3","0.3","0.0","0.0","0.0"
"156",11,"Shi Smith",CAR,"0","0","0","0","0","0","0","0"
"157",11,"Jaelon Darden",TB,"0","0","0","0","0","0","0","0"
"158",11,"Frank Darby",ATL,"0","0","0","0","0","0","0","0"
"159",11,"Freddie Swain",SEA,"1.7","1.3","0.8","9.9","0.1","0.0","0.0","0.0"
"160",11,"Braxton Berrios",NYJ,"3.8","3.4","2.3","24.6","0.2","0.2","1.8","0.0"
"161",11,"Mohamed Sanu",SF,"2.7","2.4","1.7","18.7","0.1","0.1","0.3","0.0"
"162",11,"Kelvin Harmon",WAS,"0","0","0","0","0","0","0","0"
"163",11,"J.J. Arcega-Whiteside",PHI,"1.3","1.0","0.5","10.6","0.0","0.0","0.0","0.0"
"164",11,"Seth Williams",DEN,"0","0","0","0","0","0","0","0"
"165",11,"Quez Watkins",PHI,"2.8","2.2","1.2","17.7","0.2","0.0","0.0","0.0"
"166",11,"Demetric Felton",CLE,"0","0","0","0","0","0","0","0"
"167",11,"Marquez Stevenson",BUF,"0","0","0","0","0","0","0","0"
"168",11,"Sage Surratt",DET,"0","0","0","0","0","0","0","0"
"169",11,"Jakeem Grant Sr.",MIA,"3.7","3.9","2.6","26.6","0.1","0.2","1.4","0.0"
"170",11,"Chad Beebe",MIN,"2.1","2.1","1.4","14.4","0.1","0.0","0.0","0.0"
"171",11,"Marquise Goodwin",CHI,"0","0","0","0","0","0","0","0"
"172",11,"John Hightower",PHI,"1.4","2.2","0.8","12.8","0.0","0.1","0.1","0.0"
"173",11,"Kalif Raymond",DET,"1.2","1.0","0.6","12.5","0.0","0.1","-0.2","0.0"
"174",11,"KeeSean Johnson",ARI,"2.2","2.9","1.9","21.6","0.0","0.0","0.0","0.0"
"175",11,"Zay Jones",LV,"1.4","1.3","0.9","9.6","0.1","0.0","0.0","0.0"
"176",11,"Javon Wims",CHI,"0.8","0.9","0.5","3.7","0.1","0.1","0.2","0.0"
"177",11,"Antonio Callaway",KC,"0.4","0.8","0.4","4.0","0.0","0.0","0.0","0.0"
"178",11,"Tajae Sharpe",ATL,"0.0","0.8","0.0","0.0","0.0","0.0","0.0","0.0"
"179",11,"Albert Wilson",MIA,"0","0","0","0","0","0","0","0"
"180",11,"Ray-Ray McCloud",PIT,"0.8","1.4","1.3","4.8","0.0","0.3","4.1","0.0"
"181",11,"Isaiah Coulter",HOU,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"182",11,"Juwan Johnson",NO,"0.6","1.4","0.6","5.6","0.0","0.0","0.0","0.0"
"183",11,"Geronimo Allison",DET,"0","0","0","0","0","0","0","0"
"184",11,"Christian Blake",ATL,"0.9","1.1","0.8","8.8","0.0","0.0","0.0","0.0"
"185",11,"Gunner Olszewski",NE,"1.6","0.4","0.4","4.8","0.1","0.4","1.8","0.0"
"186",12,"Cade Johnson",SEA,"0","0","0","0","0","0","0","0"
"187",12,"Phillip Dorsett II",JAC,"0","0","0","0","0","0","0","0"
"188",12,"Nick Westbrook-Ikhine",TEN,"0.4","0.6","0.2","2.4","0.0","0.0","0.0","0.0"
"189",12,"Chad Hansen",DET,"5.9","4.8","3.4","47.2","0.2","0.0","0.0","0.0"
"190",12,"Cameron Batson",TEN,"1.5","1.1","1.0","8.3","0.1","0.3","1.7","0.0"
"191",12,"Mike Thomas",CIN,"1.2","1.5","0.9","9.4","0.1","0.1","0.1","0.0"
"192",12,"Andre Roberts",HOU,"-0.1","0.3","0.3","2.3","0.0","0.1","-0.2","0.0"
"193",12,"Alex Erickson",HOU,"0.7","1.1","0.8","8.7","0.0","0.3","0.4","0.0"
"194",12,"Riley Ridley",CHI,"0.8","0.8","0.8","7.8","0.0","0.0","0.0","0.0"
"195",12,"Noah Brown",DAL,"1.0","1.5","0.9","9.6","0.0","0.1","0.3","0.0"
"196",12,"Jamal Agnew",JAC,"0.8","1.4","0.9","6.4","0.0","0.4","2.4","0.0"
"197",12,"Trishton Jackson",LAR,"0","0","0","0","0","0","0","0"
"198",12,"K.J. Hill Jr.",LAC,"0.4","0.7","0.5","4.9","0.0","0.0","0.0","0.0"
"199",12,"Penny Hart",SEA,"0.2","0.1","0.1","0.2","0.0","0.1","1.5","0.0"
"200",12,"KhaDarel Hodge",CLE,"2.0","1.9","1.2","20.0","0.0","0.0","0.0","0.0"
"201",12,"Dante Pettis",NYG,"1.7","0.9","0.6","10.9","0.1","0.0","0.0","0.0"
"202",12,"Justin Watson",TB,"0.9","1.0","0.6","8.5","0.0","0.0","0.0","0.0"
"203",12,"Trent Taylor",CIN,"0.7","1.8","0.8","7.2","0.0","0.0","0.0","0.0"
"204",12,"Mike Strachan",IND,"0","0","0","0","0","0","0","0"
"205",12,"Marvin Hall",NE,"3.5","2.7","1.5","25.2","0.2","0.1","0.1","0.0"
"206",12,"Chester Rogers",TEN,"0","0","0","0","0","0","0","0"
"207",12,"John Ursua",SEA,"0","0","0","0","0","0","0","0"
"208",12,"Devin Smith",NE,"0","0","0","0","0","0","0","0"
"209",12,"Joe Reed",LAC,"0.8","0.1","0.0","0.0","0.0","0.5","2.6","0.1"
"210",12,"Trey Quinn",LV,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"211",12,"Isaiah Zuber",NE,"1.3","0.5","0.5","7.3","0.0","0.5","5.3","0.0"
"212",12,"Laquon Treadwell",JAC,"3.4","1.4","1.2","9.8","0.4","0.0","0.0","0.0"
"213",12,"River Cracraft",SF,"0.5","1.0","0.7","4.6","0.0","0.0","0.0","0.0"
"214",12,"Racey McMath",TEN,"0","0","0","0","0","0","0","0"
"215",12,"Kawaan Baker",NO,"0","0","0","0","0","0","0","0"
"216",12,"Mack Hollins",MIA,"1.4","1.6","1.0","11.0","0.1","0.0","0.0","0.0"
"217",12,"DeMichael Harris",IND,"1.8","1.4","1.4","11.3","0.0","0.9","6.6","0.0"
"218",12,"Dez Bryant",FA,"2.8","1.8","1.0","7.8","0.3","0.0","0.0","0.0"
"219",12,"Diontae Spencer",DEN,"1.0","0.5","0.3","2.4","0.0","0.3","1.7","0.0"
"220",12,"K.J. Osborn",MIN,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"221",12,"Chris Finke",KC,"0","0","0","0","0","0","0","0"
"222",12,"Ashton Dulin",IND,"0.5","0.5","0.2","4.1","0.0","0.2","0.8","0.0"
"223",12,"Jaydon Mickens",TB,"0.6","1.0","0.7","5.8","0.0","0.0","0.0","0.0"
"224",12,"Blake Proehl",MIN,"0","0","0","0","0","0","0","0"
"225",12,"Marcus Kemp",KC,"0.1","0.1","0.1","1.1","0.0","0.0","0.0","0.0"
"226",13,"Ben Skowronek",LAR,"0","0","0","0","0","0","0","0"
"227",13,"Austin Watkins Jr.",SF,"0","0","0","0","0","0","0","0"
"228",13,"Tyrie Cleveland",DEN,"0.6","0.9","0.6","6.3","0.0","0.0","0.0","0.0"
"229",13,"Chad Williams",KC,"0","0","0","0","0","0","0","0"
"230",13,"Juwann Winfree",GB,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"231",13,"Stanley Morgan Jr.",CIN,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"232",13,"Chris Rowland",ATL,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"233",13,"Jake Kumerow",BUF,"1.4","0.2","0.2","3.7","0.2","0.0","0.0","0.0"
"234",13,"Marcus Johnson",TEN,"2.3","2.5","1.3","23.2","0.0","0.0","0.0","0.0"
"235",13,"Brandon Powell",BUF,"1.2","1.2","0.8","4.6","0.1","0.1","0.5","0.0"
"236",13,"Brandon Zylstra",CAR,"0.2","0.3","0.2","2.2","0.0","0.1","0.1","0.0"
"237",13,"T.J. Vasher",DAL,"0","0","0","0","0","0","0","0"
"238",13,"Trent Sherfield",SF,"0.3","0.5","0.3","3.3","0.0","0.0","0.0","0.0"
"239",13,"Whop Philyor",MIN,"0","0","0","0","0","0","0","0"
"240",14,"C.J. Board",NYG,"0.7","1.1","0.8","7.2","0.0","0.1","0.2","0.0"
"241",14,"Isaiah Wright",WAS,"1.4","2.5","1.9","14.1","0.0","0.2","1.1","0.0"
"242",14,"Vyncint Smith",NYJ,"0.2","0.4","0.1","1.9","0.0","0.0","0.0","0.0"
"243",14,"Rico Bussey",PIT,"0","0","0","0","0","0","0","0"
