"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"85",8,"Ko Kieft",TB,"0","0","0","0","0","0","0","0"
"86",8,"Johnny Mundt",MIN,"0","0","0","0","0","0","0","0"
"87",8,"O.J. Howard",FA,"0","0","0","0","0","0","0","0"
"88",8,"Zach Gentry",PIT,"0","0","0","0","0","0","0","0"
"89",8,"Quintin Morris",BUF,"0","0","0","0","0","0","0","0"
"90",8,"Chris Manhertz",DEN,"0","0","0","0","0","0","0","0"
"91",8,"Will Mallory",IND,"0","0","0","0","0","0","0","0"
"92",8,"Jimmy Graham",NO,"0","0","0","0","0","0","0","0"
"93",8,"Ross Dwelley",SF,"0","0","0","0","0","0","0","0"
"94",9,"Davis Allen",LAR,"0","0","0","0","0","0","0","0"
"95",9,"Tyler Kroft",MIA,"0","0","0","0","0","0","0","0"
"96",9,"Connor Heyward",PIT,"0","0","0","0","0","0","0","0"
"97",9,"Devin Asiasi",CIN,"0","0","0","0","0","0","0","0"
"98",9,"Geoff Swaim",ARI,"0","0","0","0","0","0","0","0"
"99",9,"Giovanni Ricci",CAR,"0","0","0","0","0","0","0","0"
"100",9,"Jesper Horsted",LV,"0","0","0","0","0","0","0","0"
"101",9,"Parker Hesse",ATL,"0","0","0","0","0","0","0","0"
"102",9,"Shane Zylstra",DET,"0","0","0","0","0","0","0","0"
"103",9,"Tanner Hudson",CIN,"0","0","0","0","0","0","0","0"
"104",9,"Trevon Wesco",TEN,"0","0","0","0","0","0","0","0"
"105",9,"Pharaoh Brown",IND,"0","0","0","0","0","0","0","0"
"106",9,"Cameron Brate",FA,"0","0","0","0","0","0","0","0"
"107",9,"Luke Farrell",JAC,"0","0","0","0","0","0","0","0"
"108",9,"Tommy Sweeney",NYG,"0","0","0","0","0","0","0","0"
"109",9,"Blake Bell",KC,"0","0","0","0","0","0","0","0"
"110",9,"Chris Myarick",NYG,"0","0","0","0","0","0","0","0"
"111",9,"Mitchell Wilcox",CIN,"0","0","0","0","0","0","0","0"
"112",9,"Andrew Beck",HOU,"0","0","0","0","0","0","0","0"
"113",9,"Marcedes Lewis",CHI,"0","0","0","0","0","0","0","0"
"114",9,"MyCole Pruitt",ATL,"0","0","0","0","0","0","0","0"
"115",9,"Armani Rogers",WAS,"0","0","0","0","0","0","0","0"
"116",9,"Charlie Woerner",SF,"0","0","0","0","0","0","0","0"
"117",9,"Kevin Rader",TEN,"0","0","0","0","0","0","0","0"
"118",10,"Kendall Blanton",KC,"0","0","0","0","0","0","0","0"
"119",10,"Stephen Sullivan",CAR,"0","0","0","0","0","0","0","0"
"120",10,"Tyree Jackson",PHI,"0","0","0","0","0","0","0","0"
"121",10,"Stone Smartt",LAC,"0","0","0","0","0","0","0","0"
"122",10,"Sean McKeon",DAL,"0","0","0","0","0","0","0","0"
"123",10,"Tyler Davis",GB,"0","0","0","0","0","0","0","0"
"124",10,"Noah Togiai",ARI,"0","0","0","0","0","0","0","0"
"125",10,"Tyler Mabry",SEA,"0","0","0","0","0","0","0","0"
"126",10,"Jacob Hollister",LV,"0","0","0","0","0","0","0","0"
"127",10,"Kenny Yeboah",NYJ,"0","0","0","0","0","0","0","0"
"128",10,"Matt Sokol",NE,"0","0","0","0","0","0","0","0"
"129",10,"Mason Schreck",HOU,"0","0","0","0","0","0","0","0"
"130",10,"Eric Tomlinson",HOU,"0","0","0","0","0","0","0","0"
"131",10,"Brayden Willis",SF,"0","0","0","0","0","0","0","0"
"132",10,"Matt Bushman",KC,"0","0","0","0","0","0","0","0"
"133",10,"David Wells",TB,"0","0","0","0","0","0","0","0"
"134",10,"Anthony Firkser",NE,"0","0","0","0","0","0","0","0"
"135",10,"Kyle Rudolph",FA,"0","0","0","0","0","0","0","0"
"136",10,"Jacob Harris",JAC,"0.0","0.3","0.3","2.0","0.0","0.0","0.0","0.0"
"137",10,"Nick Boyle",FA,"0","0","0","0","0","0","0","0"
"138",11,"J.P. Holtz",NO,"0","0","0","0","0","0","0","0"
"139",11,"Zaire Mitchell-Paden",CLE,"0","0","0","0","0","0","0","0"
"140",11,"Noah Gindorff",FA,"0","0","0","0","0","0","0","0"
"141",11,"Travis Vokolek",BAL,"0","0","0","0","0","0","0","0"
