PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"126",10,"Jauan Jennings",SF,"6.3","2.9","1.8","21.7","0.4","0.0","0.0","0.0"
"127",10,"Noah Brown",DAL,"3.4","2.5","1.6","18.4","0.0","0.0","0.0","0.0"
"128",10,"Anthony Schwartz",CLE,"2.6","1.8","0.8","10.4","0.1","0.5","3.0","0.0"
"129",10,"Dee Eskridge",SEA,"3.5","2.5","1.3","8.0","0.1","0.5","7.4","0.0"
"130",10,"Zach Pascal",PHI,"5.9","4.3","2.4","24.0","0.2","0.1","1.3","0.0"
"131",10,"Tyler Johnson",HOU,"4.5","3.4","2.3","22.5","0.0","0.0","0.0","0.0"
"132",10,"John Metchie III",HOU,"0","0","0","0","0","0","0","0"
"133",10,"Ashton Dulin",IND,"2.8","1.4","0.8","10.8","0.1","0.2","2.0","0.0"
"134",10,"Tutu Atwell",LAR,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"135",10,"Deonte Harty",NO,"8.7","4.5","2.8","43.8","0.2","0.4","3.2","0.0"
"136",10,"Chris Conley",HOU,"4.6","2.6","1.6","23.1","0.1","0.1","0.2","0.0"
"137",10,"Tylan Wallace",BAL,"0.4","0.6","0.2","2.3","0.0","0.0","0.0","0.0"
"138",10,"Laquon Treadwell",FA,"6.9","4.3","2.8","36.2","0.1","0.0","0.0","0.0"
"139",10,"Denzel Mims",NYJ,"2.1","2.3","0.8","13.3","0.0","0.0","0.0","0.0"
"140",10,"Justin Watson",KC,"0","0","0","0","0","0","0","0"
"141",10,"Jamal Agnew",JAC,"6.3","3.3","2.0","19.1","0.1","0.6","9.3","0.1"
"142",10,"Mack Hollins",LV,"3.8","1.8","0.9","13.9","0.3","0.0","0.0","0.0"
"143",10,"Ben Skowronek",LAR,"2.0","1.7","0.9","11.1","0.0","0.0","0.0","0.0"
"144",10,"Phillip Dorsett II",HOU,"3.6","2.8","1.4","22.0","0.0","0.2","0.0","0.0"
"145",10,"Ihmir Smith-Marsette",FA,"4.8","1.0","0.8","19.3","0.3","0.0","0.0","0.0"
"146",10,"N'Keal Harry",CHI,"2.8","2.2","1.2","18.4","0.0","0.0","0.0","0.0"
"147",10,"Antoine Wesley",ARI,"7.2","4.0","2.4","26.0","0.4","0.0","0.0","0.0"
"148",10,"Kalif Raymond",DET,"8.3","4.4","3.0","36.0","0.3","0.3","1.8","0.0"
"149",10,"Keelan Cole Sr.",FA,"5.6","3.6","2.0","32.1","0.1","0.0","0.0","0.0"
"150",10,"Erik Ezukanma",MIA,"0","0","0","0","0","0","0","0"
"151",10,"Breshad Perriman",TB,"6.7","3.6","2.2","33.4","0.2","0.2","-0.6","0.0"
"152",10,"Chris Moore",HOU,"5.6","2.2","2.1","22.7","0.2","0.0","0.0","0.0"
"153",10,"Ray-Ray McCloud",SF,"4.1","4.1","2.4","17.3","0.0","0.1","0.9","0.0"
"154",10,"Miles Boykin",PIT,"0.8","0.5","0.5","3.0","0.0","0.0","0.0","0.0"
"155",10,"Freddie Swain",FA,"5.1","2.4","1.5","20.2","0.2","0.3","1.9","0.0"
"156",11,"Simi Fehoko",DAL,"0","0","0","0","0","0","0","0"
"157",11,"Damiere Byrd",ATL,"5.9","3.5","2.4","29.9","0.1","0.0","0.0","0.0"
"158",11,"DeAndre Carter",LAC,"5.1","2.6","1.4","17.4","0.2","0.6","5.2","0.0"
"159",11,"Antonio Brown",FA,"17.3","8.9","6.0","77.9","0.6","0.1","0.9","0.0"
"160",11,"Cam Sims",WAS,"4.1","1.9","1.3","17.6","0.2","0.1","0.6","0.0"
"161",11,"Dez Fitzpatrick",TEN,"5.3","2.7","1.7","16.3","0.3","0.0","0.0","0.0"
"162",11,"Demetric Felton Jr.",CLE,"0","0","0","0","0","0","0","0"
"163",11,"Jaelon Darden",TB,"1.3","1.3","0.7","4.8","0.0","0.1","1.2","0.0"
"164",11,"Scotty Miller",TB,"3.2","1.5","0.8","6.3","0.0","0.3","7.2","0.2"
"165",11,"Shi Smith",CAR,"3.2","2.2","1.2","20.8","0.0","0.2","-0.6","0.0"
"166",11,"KhaDarel Hodge",ATL,"2.6","2.3","1.1","13.1","0.0","0.0","0.0","0.0"
"167",11,"Dezmon Patmon",IND,"2.5","1.0","0.5","5.3","0.3","0.0","0.0","0.0"
"168",11,"Lance McCutcheon",LAR,"0","0","0","0","0","0","0","0"
"169",11,"Auden Tate",FA,"3.2","1.0","0.8","9.8","0.3","0.0","0.0","0.0"
"170",11,"Tyrell Williams",FA,"3.4","3.0","2.0","14.0","0.0","0.0","0.0","0.0"
"171",11,"DeSean Jackson",FA,"5.4","2.4","1.4","32.4","0.1","0.1","0.3","0.0"
"172",11,"Tajae Sharpe",CHI,"3.4","2.6","1.8","16.4","0.0","0.0","0.0","0.0"
"173",11,"Montrell Washington",DEN,"0","0","0","0","0","0","0","0"
"174",11,"Trent Sherfield",MIA,"2.0","1.7","0.8","7.3","0.1","0.0","0.0","0.0"
"175",11,"Mike Strachan",IND,"2.3","1.5","1.0","13.0","0.0","0.0","0.0","0.0"
"176",11,"Jeff Smith",NYJ,"2.1","1.9","0.9","12.6","0.0","0.1","-0.1","0.0"
"177",11,"Preston Williams",FA,"2.3","2.7","1.0","11.8","0.0","0.2","1.2","0.0"
"178",11,"Dante Pettis",CHI,"8.4","5.3","3.3","29.0","0.3","0.0","0.0","0.0"
"179",11,"Greg Dortch",ARI,"1.4","0.6","0.6","3.0","0.0","0.2","4.8","0.0"
"180",11,"Bo Melton",SEA,"0","0","0","0","0","0","0","0"
"181",11,"Justyn Ross",KC,"0","0","0","0","0","0","0","0"
"182",11,"Tyron Johnson",LV,"0.5","0.7","0.3","2.3","0.0","0.0","0.0","0.0"
"183",11,"Mike Thomas",CIN,"1.5","1.6","0.7","7.4","0.0","0.0","0.0","0.0"
"184",11,"Jalen Nailor",MIN,"0","0","0","0","0","0","0","0"
"185",11,"Kendall Hinton",DEN,"3.5","2.1","1.4","15.9","0.1","0.0","0.0","0.0"
"186",11,"Richie James Jr.",NYG,"0","0","0","0","0","0","0","0"
"187",11,"Andy Isabella",ARI,"0.8","0.3","0.3","4.3","0.0","0.0","0.0","0.0"
"188",11,"Marquise Goodwin",SEA,"4.1","2.9","1.4","22.4","0.1","0.1","-0.1","0.0"
"189",11,"Stanley Morgan Jr.",CIN,"0.3","0.4","0.2","1.0","0.0","0.1","0.3","0.0"
"190",11,"Cyril Grayson Jr.",FA,"14.9","4.0","3.3","70.7","0.7","0.3","4.7","0.0"
"191",11,"Gunner Olszewski",PIT,"0.4","0.2","0.1","1.9","0.0","0.1","0.6","0.0"
"192",11,"Trent Taylor",CIN,"1.5","0.8","0.5","10.3","0.0","0.0","0.0","0.0"
"193",12,"Lil'Jordan Humphrey",NE,"6.2","2.3","1.6","31.1","0.3","0.0","0.0","0.0"
"194",12,"Lynn Bowden Jr.",NE,"0","0","0","0","0","0","0","0"
"195",12,"Samori Toure",GB,"0","0","0","0","0","0","0","0"
"196",12,"Josh Gordon",TEN,"1.6","1.6","0.6","3.6","0.1","0.0","0.0","0.0"
"197",12,"Jody Fortson",KC,"0","0","0","0","0","0","0","0"
"198",12,"Jake Kumerow",BUF,"0.7","0.9","0.3","4.0","0.0","0.0","0.0","0.0"
"199",12,"Brandon Zylstra",FA,"4.1","2.1","1.5","20.8","0.1","0.0","0.0","0.0"
"200",12,"Travis Fulgham",GB,"0","0","0","0","0","0","0","0"
"201",12,"Andre Roberts",CAR,"0.5","0.1","0.1","2.2","0.0","0.2","1.2","0.0"
"202",12,"Marcus Johnson",FA,"3.5","2.7","1.3","22.9","0.0","0.3","-0.3","0.0"
"203",12,"Seth Williams",FA,"4.4","1.0","1.0","34.0","0.0","0.0","0.0","0.0"
"204",12,"Penny Hart",SEA,"1.1","1.0","0.6","4.9","0.0","0.0","0.0","0.0"
"205",12,"Dax Milne",WAS,"1.7","1.6","1.0","9.2","0.0","0.1","0.1","0.0"
"206",12,"Racey McMath",TEN,"0.1","1.0","0.3","1.3","0.0","0.0","0.0","0.0"
"207",12,"Malik Turner",SF,"6.4","2.3","1.7","21.3","0.4","0.0","0.0","0.0"
"208",12,"C.J. Board",NYG,"1.6","1.0","0.7","8.5","0.0","0.2","1.0","0.0"
"209",12,"Dennis Houston",DAL,"0","0","0","0","0","0","0","0"
"210",12,"David Sills V",NYG,"0.9","1.5","0.5","4.3","0.0","0.0","0.0","0.0"
"211",12,"Keke Coutee",IND,"1.5","1.0","1.0","5.0","0.0","0.0","0.0","0.0"
"212",12,"Brandon Powell",LAR,"1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"213",12,"Cody Hollister",TEN,"2.4","2.3","1.3","11.0","0.0","0.0","0.0","0.0"
"214",12,"Juwann Winfree",FA,"2.4","2.6","1.6","11.6","0.0","0.0","0.0","0.0"
"215",12,"Cameron Batson",ATL,"2.8","1.3","0.5","3.8","0.3","0.5","3.8","0.0"
"216",12,"Tim Jones",JAC,"0","0","0","0","0","0","0","0"
"217",12,"Dareke Young",SEA,"0","0","0","0","0","0","0","0"
"218",12,"Cornell Powell",KC,"0","0","0","0","0","0","0","0"
"219",12,"Chester Rogers",FA,"4.1","2.7","1.9","18.8","0.1","0.1","0.6","0.0"
"220",12,"Kristian Wilkerson",NE,"20.2","8.0","4.0","42.0","2.0","0.0","0.0","0.0"
"221",12,"DJ Turner",LV,"0","0","0","0","0","0","0","0"
"222",12,"Nsimba Webster",CHI,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"223",12,"Jaylon Moore",NYG,"0","0","0","0","0","0","0","0"
"224",12,"Britain Covey",PHI,"0","0","0","0","0","0","0","0"
"225",12,"Tom Kennedy",DET,"2.6","1.4","0.9","7.7","0.0","0.0","0.0","0.0"
"226",12,"KaVontae Turpin",DAL,"0","0","0","0","0","0","0","0"
"227",12,"Greg Ward",PHI,"3.5","1.1","0.7","9.5","0.3","0.0","0.0","0.0"
"228",12,"Mohamed Sanu Sr.",FA,"4.1","3.0","1.9","22.1","0.0","0.0","0.0","0.0"
"229",12,"Kirk Merritt",NO,"2.3","3.0","1.0","13.0","0.0","0.0","0.0","0.0"
"230",12,"Frank Darby",ATL,"0.6","1.0","0.3","3.5","0.0","0.0","0.0","0.0"
"231",12,"Tanner Gentry",BUF,"0","0","0","0","0","0","0","0"
"232",12,"Jason Moore Jr.",LAC,"8.6","4.0","3.0","56.0","0.0","0.0","0.0","0.0"
"233",12,"Alex Erickson",WAS,"0.5","0.2","0.2","3.2","0.0","0.0","0.0","0.0"
"234",12,"Marquez Stevenson",BUF,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"235",12,"Steven Sims Jr.",PIT,"0","0","0","0","0","0","0","0"
"236",12,"Ja'Marcus Bradley",FA,"2.6","1.0","1.0","16.0","0.0","0.0","0.0","0.0"
"237",13,"Lawrence Cager",NYJ,"0","0","0","0","0","0","0","0"
"238",13,"Joe Reed",LAC,"0","0","0","0","0","0","0","0"
"239",13,"Albert Wilson",FA,"4.8","3.9","2.5","21.3","0.0","0.4","1.7","0.0"
"240",13,"Trenton Irwin",CIN,"1.1","1.0","0.4","6.8","0.0","0.0","0.0","0.0"
"241",13,"Javon Wims",FA,"0","0","0","0","0","0","0","0"
"242",13,"Trinity Benson",FA,"2.9","3.1","1.4","14.7","0.0","0.0","0.0","0.0"
"243",13,"Jalen Virgil",DEN,"0","0","0","0","0","0","0","0"
"244",13,"Kevin Austin Jr.",JAC,"0","0","0","0","0","0","0","0"
"245",13,"Geronimo Allison",FA,"0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0"
"246",13,"Cody White",PIT,"1.4","1.0","0.8","5.5","0.0","0.0","0.0","0.0"
"247",13,"Charleston Rambo",FA,"0","0","0","0","0","0","0","0"
"248",13,"Malik Taylor",GB,"0.2","0.4","0.3","2.0","0.0","0.0","0.0","0.0"
"249",13,"Michael Woods II",FA,"0","0","0","0","0","0","0","0"
"250",13,"Tyler Vaughns",FA,"0","0","0","0","0","0","0","0"
"251",13,"Kwamie Lassiter II",CIN,"0","0","0","0","0","0","0","0"
"252",13,"Johnny Johnson III",HOU,"0","0","0","0","0","0","0","0"
"253",13,"Michael Bandy",LAC,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"254",13,"Binjimen Victor",BAL,"0","0","0","0","0","0","0","0"
"255",13,"Tyrie Cleveland",DEN,"0.0","0.3","0.0","0.0","0.0","0.0","0.0","0.0"
"256",13,"Dazz Newsome",FA,"1.4","1.7","0.7","7.7","0.0","0.0","0.0","0.0"
"257",13,"Isaiah Coulter",CHI,"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"258",13,"Marken Michel",WAS,"0","0","0","0","0","0","0","0"
"259",13,"Jared Bernhardt",ATL,"0","0","0","0","0","0","0","0"
"260",13,"Cody Thompson",SEA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"261",13,"Brandon Johnson",DEN,"0","0","0","0","0","0","0","0"
"262",13,"Tre Nixon",NE,"0","0","0","0","0","0","0","0"
"263",13,"Reggie Roberson Jr.",FA,"0","0","0","0","0","0","0","0"
"264",13,"Devon Allen",PHI,"0","0","0","0","0","0","0","0"
"265",13,"Makai Polk",BAL,"0","0","0","0","0","0","0","0"
"266",13,"T.J. Vasher",FA,"0","0","0","0","0","0","0","0"
"267",13,"Isaiah Weston",FA,"0","0","0","0","0","0","0","0"
"268",13,"River Cracraft",MIA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"269",13,"Jontre Kirklin",ARI,"0","0","0","0","0","0","0","0"
"270",13,"J.J. Arcega-Whiteside",SEA,"0.8","0.7","0.3","5.1","0.0","0.0","0.0","0.0"
"271",13,"D.J. Montgomery",FA,"3.3","3.0","1.5","18.0","0.0","0.0","0.0","0.0"
"272",13,"Christian Blake",FA,"0.7","1.0","0.4","2.5","0.0","0.0","0.0","0.0"
"273",13,"KeeSean Johnson",FA,"0","0","0","0","0","0","0","0"
"274",13,"Dan Chisena",MIN,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"275",13,"Kyric McGowan",WAS,"0","0","0","0","0","0","0","0"
"276",13,"Matthew Slater",NE,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"277",13,"Mason Kinsey",TEN,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"278",13,"DeMichael Harris",FA,"0","0","0","0","0","0","0","0"
"279",13,"Jalen Camp",HOU,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"280",13,"Drew Estrada",HOU,"0","0","0","0","0","0","0","0"
"281",13,"Devin Funchess",FA,"0","0","0","0","0","0","0","0"
"282",14,"Tanner Conner",MIA,"0","0","0","0","0","0","0","0"
"283",14,"JaVonta Payton",FA,"0","0","0","0","0","0","0","0"
"284",14,"Rashid Shaheed",NO,"0","0","0","0","0","0","0","0"
