"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","TGT","REC","YDS","TDS","ATT","YDS","TDS"
"83",8,"Jody Fortson",KC,"29.8","13","9","108","2","0","0","0"
"84",8,"Payne Durham",TB,"0","0","0","0","0","0","0","0"
"85",8,"Ko Kieft",TB,"21","10","7","80","1","0","0","0"
"86",8,"Johnny Mundt",MIN,"39","21","19","140","1","0","0","0"
"87",8,"O.J. Howard",FA,"36.5","23","10","145","2","0","0","0"
"88",8,"Zach Gentry",PIT,"32.2","23","19","132","0","0","0","0"
"89",8,"Quintin Morris",BUF,"20.4","11","8","84","1","0","0","0"
"90",8,"Chris Manhertz",DEN,"10.2","8","6","42","0","0","0","0"
"91",8,"Will Mallory",IND,"0","0","0","0","0","0","0","0"
"92",8,"Jimmy Graham",NO,"0","0","0","0","0","0","0","0"
"93",8,"Ross Dwelley",SF,"19.5","5","3","105","1","0","0","0"
"94",9,"Davis Allen",LAR,"0","0","0","0","0","0","0","0"
"95",9,"Tyler Kroft",MIA,"9.7","5","4","57","0","0","0","0"
"96",9,"Connor Heyward",PIT,"35.8","17","12","151","1","2","27","0"
"97",9,"Devin Asiasi",CIN,"2.5","4","2","5","0","0","0","0"
"98",9,"Geoff Swaim",ARI,"23.8","16","12","58","1","0","0","0"
"99",9,"Giovanni Ricci",CAR,"18","9","8","100","0","0","0","0"
"100",9,"Jesper Horsted",LV,"4.9","4","3","19","0","0","0","0"
"101",9,"Parker Hesse",ATL,"17.9","11","9","89","0","0","0","0"
"102",9,"Shane Zylstra",DET,"41","15","11","60","4","0","0","0"
"103",9,"Tanner Hudson",CIN,"23.2","15","10","132","0","0","0","0"
"104",9,"Trevon Wesco",TEN,"6.6","4","2","26","0","0","0","0"
"105",9,"Pharaoh Brown",IND,"23.7","20","12","117","0","0","0","0"
"106",9,"Cameron Brate",FA,"37.4","38","20","174","0","0","0","0"
"107",9,"Luke Farrell",JAC,"8","4","4","40","0","0","0","0"
"108",9,"Tommy Sweeney",NYG,"1.7","1","1","7","0","0","0","0"
"109",9,"Blake Bell",KC,"10","2","2","20","1","0","0","0"
"110",9,"Chris Myarick",NYG,"19.5","8","7","65","1","0","0","0"
"111",9,"Mitchell Wilcox",CIN,"36.9","18","17","139","1","0","0","0"
"112",9,"Andrew Beck",HOU,"11.9","11","5","69","0","2","0","0"
"113",9,"Marcedes Lewis",CHI,"26.6","7","6","66","2","0","0","0"
"114",9,"MyCole Pruitt",ATL,"55","21","16","150","4","0","0","0"
"115",9,"Armani Rogers",WAS,"14","6","5","64","0","2","26","0"
"116",9,"Charlie Woerner",SF,"0","2","0","0","0","0","0","0"
"117",9,"Kevin Rader",TEN,"0","0","0","0","0","0","0","0"
"118",10,"Kendall Blanton",KC,"5.5","2","2","35","0","0","0","0"
"119",10,"Stephen Sullivan",CAR,"6.6","6","2","46","0","0","0","0"
"120",10,"Tyree Jackson",PHI,"0","0","0","0","0","0","0","0"
"121",10,"Stone Smartt",LAC,"5.7","5","4","17","0","0","0","0"
"122",10,"Sean McKeon",DAL,"3.1","3","2","11","0","0","0","0"
"123",10,"Tyler Davis",GB,"6.6","7","4","26","0","0","0","0"
"124",10,"Noah Togiai",ARI,"0","1","0","0","0","0","0","0"
"125",10,"Tyler Mabry",SEA,"7.7","1","1","7","1","0","0","0"
"126",10,"Jacob Hollister",LV,"0","0","0","0","0","0","0","0"
"127",10,"Kenny Yeboah",NYJ,"0","0","0","0","0","0","0","0"
"128",10,"Matt Sokol",NE,"0","0","0","0","0","0","0","0"
"129",10,"Mason Schreck",HOU,"2.6","2","2","6","0","0","0","0"
"130",10,"Eric Tomlinson",HOU,"28.9","13","9","79","2","0","0","0"
"131",10,"Brayden Willis",SF,"0","0","0","0","0","0","0","0"
"132",10,"Matt Bushman",KC,"0","0","0","0","0","0","0","0"
"133",10,"David Wells",TB,"0","0","0","0","0","0","0","0"
"134",10,"Anthony Firkser",NE,"19","13","9","100","0","0","0","0"
"135",10,"Kyle Rudolph",FA,"11.8","5","3","28","1","0","0","0"
"136",10,"Jacob Harris",JAC,"1.6","1","1","6","0","0","0","0"
"137",10,"Nick Boyle",FA,"0","0","0","0","0","0","0","0"
"138",11,"J.P. Holtz",NO,"0","0","0","0","0","0","0","0"
"139",11,"Zaire Mitchell-Paden",CLE,"0","0","0","0","0","0","0","0"
"140",11,"Noah Gindorff",FA,"0","0","0","0","0","0","0","0"
"141",11,"Travis Vokolek",BAL,"0","0","0","0","0","0","0","0"
