"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"FAN PTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC_TGT","REC","REC_YDS","REC_TDS"
"87",8,"Le'Veon Bell",FA,"58.6","82","328","2","20","16","138","0"
"88",8,"Brian Hill",TEN,"70.4","100","465","1","30","25","199","0"
"89",8,"Eno Benjamin",ARI,"0","0","0","0","0","0","0","0"
"90",8,"Kalen Ballage",PIT,"64.9","91","303","3","37","29","166","0"
"91",8,"Todd Gurley II",FA,"138.2","195","678","9","35","25","164","0"
"92",8,"Duke Johnson Jr.",FA,"56.4","77","235","1","35","28","249","1"
"93",8,"Jordan Howard",PHI,"29.7","35","60","4","1","1","-3","0"
"94",8,"Jordan Wilkins",IND,"49.3","84","308","1","16","12","105","0"
"95",8,"Ito Smith",FA,"40.3","63","268","1","26","17","75","0"
"96",8,"Adrian Peterson",FA,"112.5","156","604","7","18","12","101","0"
"97",8,"Peyton Barber",WAS,"51","94","258","4","7","4","12","0"
"98",9,"Chris Thompson",FA,"22.6","7","20","0","23","20","146","1"
"99",9,"Jermar Jefferson",DET,"0","0","0","0","0","0","0","0"
"100",9,"Xavier Jones",LAR,"0","0","0","0","0","0","0","0"
"101",9,"Mike Boone",DEN,"12.9","11","59","1","2","2","10","0"
"102",9,"Larry Rountree III",LAC,"0","0","0","0","0","0","0","0"
"103",9,"Elijah Mitchell",SF,"0","0","0","0","0","0","0","0"
"104",9,"Royce Freeman",DEN,"25.1","35","170","0","13","12","81","0"
"105",9,"Qadree Ollison",ATL,"0.3","1","3","0","0","0","0","0"
"106",9,"Chris Evans",CIN,"0","0","0","0","0","0","0","0"
"107",9,"Dare Ogunbowale",JAC,"19.9","32","145","0","20","10","54","0"
"108",9,"Jake Funk",LAR,"0","0","0","0","0","0","0","0"
"109",9,"Bryce Love",FA,"0","0","0","0","0","0","0","0"
"110",9,"Devine Ozigbo",JAC,"4.3","1","1","0","9","9","42","0"
"111",9,"Khalil Herbert",CHI,"0","0","0","0","0","0","0","0"
"112",9,"Kylin Hill",GB,"0","0","0","0","0","0","0","0"
"113",9,"Frank Gore",FA,"84.2","187","653","2","19","16","89","0"
"114",9,"LeSean McCoy",FA,"13.2","10","31","0","19","15","101","0"
"115",9,"Kene Nwangwu",MIN,"0","0","0","0","0","0","0","0"
"116",9,"Darwin Thompson",KC,"26.2","27","97","1","11","7","65","1"
"117",10,"Jaret Patterson",WAS,"0","0","0","0","0","0","0","0"
"118",10,"Gerrid Doaks",MIA,"0","0","0","0","0","0","0","0"
"119",10,"Travis Homer",SEA,"23.8","25","88","0","10","9","90","1"
"120",10,"Kyle Juszczyk",SF,"62.6","17","64","2","29","19","202","4"
"121",10,"Gary Brightwell",NYG,"0","0","0","0","0","0","0","0"
"122",10,"Raymond Calais",LAR,"0","0","0","0","0","0","0","0"
"123",10,"Jaylen Samuels",PIT,"7.4","9","28","0","14","9","46","0"
"124",10,"Alex Collins",SEA,"20.1","18","77","2","2","1","4","0"
"125",10,"Stevie Scott III",NO,"0","0","0","0","0","0","0","0"
"126",10,"Devonta Freeman",NO,"29","54","172","1","10","7","58","0"
"127",10,"Trayveon Williams",CIN,"16.7","26","157","0","5","5","30","0"
"128",10,"Dion Lewis",FA,"38.2","29","115","2","30","19","127","1"
"129",10,"Ty Montgomery",NO,"12.8","19","101","0","6","3","27","0"
"130",10,"JaMycal Hasty",SF,"24.1","39","148","1","8","7","33","0"
"131",10,"Ameer Abdullah",MIN,"22","8","42","0","9","8","58","2"
"132",10,"Jeremy McNichols",TEN,"31.9","47","204","1","17","12","55","0"
"133",10,"Ryquell Armstead",FA,"0","0","0","0","0","0","0","0"
"134",10,"Trey Ragas",LV,"0","0","0","0","0","0","0","0"
"135",10,"Pooka Williams Jr.",CIN,"0","0","0","0","0","0","0","0"
"136",10,"C.J. Ham",MIN,"17.5","5","18","0","14","8","97","1"
"137",10,"D'Onta Foreman",FA,"16","22","95","0","1","1","5","1"
"138",10,"Alec Ingold",LV,"17.4","3","4","0","17","12","110","1"
"139",10,"Patrick Ricard",BAL,"8","1","-1","0","12","9","45","1"
"140",10,"T.J. Yeldon",FA,"15.2","10","70","0","4","1","22","1"
"141",10,"Patrick Laird",MIA,"12","13","72","0","12","10","68","0"
"142",10,"Trenton Cannon",CAR,"4.9","10","33","0","3","3","16","0"
"143",10,"D'Ernest Johnson",CLE,"18","33","166","0","4","3","14","0"
"144",10,"Corey Clement",NYG,"16","21","75","1","6","5","25","0"
"145",10,"Michael Burton",KC,"4.6","7","18","0","4","4","28","0"
"146",11,"Antonio Williams",BUF,"20.3","12","63","2","1","1","20","0"
"147",11,"Keith Smith",ATL,"6.6","4","7","0","15","11","59","0"
"148",11,"Reggie Bonnafon",CAR,"14.7","12","69","0","2","2","18","1"
"149",11,"Theo Riddick",LV,"5.7","6","14","0","6","5","43","0"
"150",11,"DeAndre Washington",FA,"12.1","31","91","0","10","5","30","0"
"151",11,"Rico Dowdle",DAL,"2.4","7","24","0","0","0","0","0"
"152",11,"Tony Brooks-James",ATL,"0.4","3","4","0","0","0","0","0"
"153",11,"Elijah McGuire",KC,"0","0","0","0","0","0","0","0"
"154",11,"Josh Adams",NYJ,"30.6","29","157","2","8","6","29","0"
"155",11,"Bo Scarbrough",FA,"3.1","6","31","0","0","0","0","0"
"156",11,"J.J. Taylor",NE,"11.4","23","110","0","2","1","4","0"
"157",11,"Dedrick Mills",DET,"0","0","0","0","0","0","0","0"
"158",11,"Jacques Patrick",CIN,"0","0","0","0","0","0","0","0"
"159",11,"Lamar Miller",WAS,"0.6","0","0","0","2","2","6","0"
"160",11,"Lynn Bowden Jr.",MIA,"0","0","0","0","0","0","0","0"
"161",11,"Jakob Johnson",NE,"9.5","0","0","0","9","8","35","1"
"162",11,"Rodney Smith",CAR,"27.5","41","156","1","11","9","59","0"
"163",11,"Khari Blasingame",TEN,"3.9","0","0","0","5","4","39","0"
"164",11,"Otis Anderson Jr.",LAR,"0","0","0","0","0","0","0","0"
"165",11,"Jonathan Ward",ARI,"7.1","0","0","0","1","1","11","1"
"166",11,"Dexter Williams",GB,"0.8","2","8","0","0","0","0","0"
"167",11,"Brenden Knox",DAL,"0","0","0","0","0","0","0","0"
"168",11,"Alex Armah",NO,"2.7","6","9","0","9","5","18","0"
"169",11,"Rakeem Boyd",FA,"0","0","0","0","0","0","0","0"
"170",11,"Caleb Huntley",ATL,"0","0","0","0","0","0","0","0"
"171",11,"JaQuan Hardy",DAL,"0","0","0","0","0","0","0","0"
"172",11,"Troymaine Pope",TB,"11.8","15","76","0","10","8","42","0"
"173",11,"Buddy Howell",HOU,"6.7","16","64","0","2","1","3","0"
"174",11,"Derek Watt",PIT,"0","0","0","0","0","0","0","0"
"175",11,"Andy Janovich",CLE,"1.7","2","4","0","5","2","13","0"
"176",11,"Ty'Son Williams",BAL,"0","0","0","0","0","0","0","0"
"177",11,"Tre Harbison",CLE,"0","0","0","0","0","0","0","0"
"178",11,"Sewo Olonilua",DAL,"0","0","0","0","0","0","0","0"
"179",11,"Dwayne Washington",NO,"1.5","8","15","0","0","0","0","0"
"180",11,"Ryan Nall",CHI,"12.7","3","0","0","9","8","67","1"
"181",11,"Mekhi Sargent",TEN,"0","0","0","0","0","0","0","0"
"182",11,"Michael Warren II",DET,"0","0","0","0","0","0","0","0"
"183",11,"Scottie Phillips",HOU,"1.6","2","9","0","1","1","7","0"
"184",11,"Austin Walter",NYJ,"3","1","3","0","1","1","27","0"
"185",11,"Dontrell Hilliard",HOU,"5","9","48","0","1","1","2","0"
"186",11,"Reggie Gilliam",BUF,"7.6","0","0","0","2","2","16","1"
"187",12,"Artavis Pierce",CHI,"9.4","6","34","1","0","0","0","0"
"188",12,"Elijhaa Penny",NYG,"3.5","6","15","0","3","2","20","0"
"189",12,"C.J. Prosise",TB,"7.7","10","19","0","5","5","18","1"
"190",12,"Cullen Gillaspia",NYG,"0.6","0","0","0","1","1","6","0"
"191",12,"Taiwan Jones",BUF,"0","0","0","0","2","0","0","0"
"192",12,"Tony Jones Jr.",NO,"1.3","3","13","0","0","0","0","0"
"193",12,"John Kelly",CLE,"0","0","0","0","0","0","0","0"
"194",12,"Jonathan Williams",WAS,"0.6","1","5","0","4","4","21","0"
"195",12,"Alfred Morris",FA,"37.7","55","238","1","4","3","19","1"
"196",12,"Ben Mason",BAL,"0","0","0","0","0","0","0","0"
"197",12,"Nate McCrary",BAL,"0","0","0","0","0","0","0","0"
"198",12,"Darius Anderson",IND,"0","0","0","0","0","0","0","0"
"199",12,"Tavien Feaster",ARI,"0","0","0","0","0","0","0","0"
"200",12,"Brandon Bolden",NE,"0","0","0","0","0","0","0","0"
"201",12,"Khalfani Muhammad",ARI,"0","0","0","0","0","0","0","0"
"202",12,"Jason Huntley",PHI,"1.9","5","19","0","2","1","0","0"
"203",12,"Darius Bradwell",LAC,"0","0","0","0","0","0","0","0"
"204",12,"Jordan Scarlett",MIA,"0","0","0","0","0","0","0","0"
"205",12,"LeVante Bellamy",DEN,"1.6","4","11","0","1","1","5","0"
"206",12,"Johnny Stanton",CLE,"0","0","0","0","0","0","0","0"
"207",12,"Damarea Crockett",DEN,"0","0","0","0","0","0","0","0"
"208",12,"Deon Jackson",IND,"0","0","0","0","0","0","0","0"
"209",12,"Adrian Killins Jr.",PHI,"-1","1","-12","0","1","1","2","0"
"210",12,"Patrick Taylor Jr.",GB,"0","0","0","0","0","0","0","0"
"211",12,"Spencer Brown",CAR,"0","0","0","0","0","0","0","0"
"212",12,"Josh Johnson",SEA,"0","0","0","0","0","0","0","0"
"213",12,"CJ Marable",CHI,"0","0","0","0","0","0","0","0"
"214",12,"Tory Carter",TEN,"0","0","0","0","0","0","0","0"
