"RK",TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS"
"128",9,"Jonnu Smith",NE,"6.6"
"129",9,"Baker Mayfield",CLE,"16.0"
"130",9,"Mecole Hardman",KC,"5.4"
"131",9,"Evan Engram",NYG,"4.9"
"132",9,"Nyheim Hines",IND,"8.1"
"133",9,"Hunter Henry",NE,"6.1"
"134",9,"Darnell Mooney",CHI,"5.7"
"135",9,"Henry Ruggs III",LV,"4.5"
"136",9,"Phillip Lindsay",HOU,"5.4"
"137",9,"Tua Tagovailoa",MIA,"14.0"
"138",9,"Alexander Mattison",MIN,"5.7"
"139",9,"Ryan Fitzpatrick",WAS,"16.1"
"140",9,"Blake Jarwin",DAL,"1.2"
"141",9,"Nelson Agholor",NE,"8.6"
"142",9,"Daniel Jones",NYG,"13.6"
"143",9,"Jalen Reagor",PHI,"5.1"
"144",9,"Carson Wentz",IND,"17.8"
"145",9,"Ben Roethlisberger",PIT,"18.5"
"146",9,"Cole Beasley",BUF,"8.4"
"147",9,"J.D. McKissic",WAS,"7.0"
"148",9,"Pittsburgh Steelers",PIT,"8.7"
"149",10,"Austin Hooper",CLE,"5.2"
"150",10,"Los Angeles Rams",LAR,"9.4"
"151",10,"John Brown",LV,"7.1"
"152",10,"Jared Cook",LAC,"6.0"
"153",10,"Cole Kmet",CHI,"2.1"
"154",10,"Tarik Cohen",CHI,"3.8"
"155",10,"Adam Trautman",NO,"1.5"
"156",10,"Tevin Coleman",NYJ,"1.1"
"157",10,"Tre'Quan Smith",NO,"4.9"
"158",10,"Rashaad Penny",SEA,"1.1"
"159",10,"James White",NE,"4.8"
"160",10,"Baltimore Ravens",BAL,"8.3"
"161",10,"Rashod Bateman",BAL,"0"
"162",10,"Gabriel Davis",BUF,"6.4"
"163",10,"Derek Carr",LV,"17.6"
"164",10,"Gerald Everett",SEA,"3.2"
"165",10,"Jamison Crowder",NYJ,"9.4"
"166",10,"Russell Gage",ATL,"6.8"
"167",10,"Christian Kirk",ARI,"7.0"
"168",10,"Justin Fields",CHI,"0"
"169",10,"Sterling Shepard",NYG,"8.0"
"170",10,"San Francisco 49ers",SF,"5.5"
"171",10,"Justin Tucker",BAL,"9.1"
"172",10,"Indianapolis Colts",IND,"9.1"
"173",10,"Parris Campbell",IND,"4.3"
"174",10,"Washington Football Team",WAS,"7.9"
"175",10,"Tampa Bay Buccaneers",TB,"7.3"
"176",10,"Sam Darnold",CAR,"12.1"
"177",10,"Sony Michel",NE,"7.6"
"178",10,"Harrison Butker",KC,"8.4"
"179",10,"Anthony Firkser",TEN,"2.8"
"180",10,"Elijah Moore",NYJ,"0"
"181",10,"Breshad Perriman",DET,"5.8"
"182",10,"Younghoe Koo",ATL,"11.2"
"183",10,"Zach Ertz",PHI,"3.8"
"184",10,"Salvon Ahmed",MIA,"9.7"
"185",10,"Emmanuel Sanders",BUF,"7.4"
"186",10,"Marlon Mack",IND,"5.6"
"187",10,"Eric Ebron",PIT,"5.7"
"188",10,"Buffalo Bills",BUF,"7.4"
"189",11,"Giovani Bernard",TB,"6.9"
"190",11,"Darius Slayton",NYG,"5.7"
"191",11,"New Orleans Saints",NO,"7.8"
"192",11,"New England Patriots",NE,"6.6"
"193",11,"Kenneth Gainwell",PHI,"0"
"194",11,"Jakobi Meyers",NE,"6.0"
"195",11,"Greg Zuerlein",DAL,"9.6"
"196",11,"Allen Lazard",GB,"6.5"
"197",11,"Kansas City Chiefs",KC,"6.6"
"198",11,"Rondale Moore",ARI,"0"
"199",11,"Joshua Kelley",LAC,"4.2"
"200",11,"Zach Wilson",NYJ,"0"
"201",11,"Wil Lutz",NO,"8.4"
"202",11,"Trey Lance",SF,"0"
"203",11,"Denzel Mims",NYJ,"4.2"
"204",11,"Jared Goff",DET,"16.9"
"205",11,"Darrel Williams",KC,"2.3"
"206",11,"Jameis Winston",NO,"0.6"
"207",11,"Jason Sanders",MIA,"10.8"
"208",11,"A.J. Green",ARI,"4.0"
"209",11,"Cam Newton",NE,"17.9"
"210",11,"Marquez Valdes-Scantling",GB,"6.5"
"211",11,"Hayden Hurst",ATL,"5.8"
"212",11,"Chicago Bears",CHI,"5.6"
"213",11,"Benny Snell Jr.",PIT,"4.1"
"214",11,"Los Angeles Chargers",LAC,"4.3"
"215",11,"Miami Dolphins",MIA,"8.3"
"216",11,"Sammy Watkins",BAL,"5.1"
"217",11,"Malcolm Brown",MIA,"5.4"
"218",11,"Carlos Hyde",JAC,"6.9"
"219",11,"Bryan Edwards",LV,"2.1"
"220",11,"Denver Broncos",DEN,"4.6"
"221",11,"Rodrigo Blankenship",IND,"9.4"
"222",11,"Darrynton Evans",TEN,"2.8"
"223",11,"Matt Prater",ARI,"7.3"
"224",11,"O.J. Howard",TB,"6.7"
"225",11,"Dawson Knox",BUF,"3.6"
"226",11,"Amon-Ra St. Brown",DET,"0"
"227",11,"Robbie Gould",SF,"7.1"
"228",11,"Cleveland Browns",CLE,"6.1"
"229",11,"Mark Ingram II",HOU,"4.3"
"230",11,"Chuba Hubbard",CAR,"0"
"231",11,"Tyler Bass",BUF,"9.8"
"232",11,"Jeff Wilson Jr.",SF,"10.8"
"233",11,"Jason Myers",SEA,"8.6"
"234",11,"Damien Williams",CHI,"0"
"235",12,"Ryan Succop",TB,"9.1"
"236",12,"Terrace Marshall Jr.",CAR,"0"
"237",12,"Randall Cobb",GB,"6.2"
"238",12,"Seattle Seahawks",SEA,"6.4"
"239",12,"Josh Reynolds",TEN,"4.5"
"240",12,"DeSean Jackson",LAR,"6.2"
"241",12,"La'Mical Perine",NYJ,"4.2"
"242",12,"Justin Jackson",LAC,"5.1"
"243",12,"Green Bay Packers",GB,"5.9"
"244",12,"Michael Badgley",LAC,"7.5"
"245",12,"Minnesota Vikings",MIN,"3.8"
"246",12,"Deshaun Watson",HOU,"23.5"
"247",12,"Tyrell Williams",DET,"0"
"248",12,"KJ Hamler",DEN,"4.6"
"249",12,"Mason Crosby",GB,"7.5"
"250",12,"Tim Patrick",DEN,"7.3"
"251",12,"Taysom Hill",NO,"9.4"
"252",12,"Dan Arnold",CAR,"4.1"
"253",12,"Anthony Miller",HOU,"3.7"
"254",12,"Kerryon Johnson",PHI,"3.3"
"255",12,"Rhamondre Stevenson",NE,"0"
"256",12,"Philadelphia Eagles",PHI,"6.3"
"257",12,"Van Jefferson",LAR,"1.7"
"258",12,"Wayne Gallman",SF,"7.7"
"259",12,"Hunter Renfrow",LV,"4.7"
"260",12,"Javian Hawkins",ATL,"0"
"261",12,"Kadarius Toney",NYG,"0"
"262",12,"James Washington",PIT,"4.3"
"263",12,"Daniel Carlson",LV,"9.7"
"264",12,"Jake Elliott",PHI,"4.7"
"265",12,"Chris Herndon IV",NYJ,"2.7"
"266",12,"Brandon McManus",DEN,"9.1"
"267",12,"Jack Doyle",IND,"2.9"
"268",12,"Preston Williams",MIA,"7.1"
"269",12,"Amari Rodgers",GB,"0"
"270",12,"Jerick McKinnon",KC,"5.8"
"271",12,"Joey Slye",CAR,"8.1"
"272",12,"Tennessee Titans",TEN,"3.9"
"273",12,"Boston Scott",PHI,"4.4"
"274",12,"Matt Breida",BUF,"2.8"
"275",12,"Rashard Higgins",CLE,"6.5"
"276",12,"Devontae Booker",NYG,"4.3"
"277",12,"Jimmy Graham",CHI,"5.8"
"278",12,"Ke'Shawn Vaughn",TB,"1.8"
"279",12,"Chris Boswell",PIT,"7.7"
"280",12,"Ka'imi Fairbairn",HOU,"8.3"
"281",12,"Anthony McFarland Jr.",PIT,"1.5"
"282",12,"Jimmy Garoppolo",SF,"11.6"
"283",12,"Teddy Bridgewater",DEN,"16.8"
"284",12,"Zach Pascal",IND,"5.8"
"285",12,"New York Giants",NYG,"6.4"
"286",12,"Ty Johnson",NYJ,"3.6"
"287",13,"Dustin Hopkins",WAS,"8.0"
"288",13,"New York Jets",NYJ,"4.2"
"289",13,"Josh Lambo",JAC,"7.0"
"290",13,"Arizona Cardinals",ARI,"6.8"
"291",13,"Nico Collins",HOU,"0"
"292",13,"Kendrick Bourne",NE,"5.4"
"293",13,"Samaje Perine",CIN,"3.4"
"294",13,"N'Keal Harry",NE,"2.9"
"295",13,"Tyron Johnson",LAC,"5.0"
"296",13,"Matt Gay",LAR,"9.4"
"297",13,"Keke Coutee",HOU,"6.8"
"298",13,"Quintez Cephus",DET,"3.6"
"299",13,"Drew Lock",DEN,"15.1"
"300",13,"Dallas Cowboys",DAL,"4.8"
"301",13,"Le'Veon Bell",FA,"5.3"
"302",13,"Travis Fulgham",PHI,"6.0"
"303",13,"Keelan Cole Sr.",NYJ,"6.3"
"304",13,"Kyle Rudolph",NYG,"3.1"
"305",13,"Scotty Miller",TB,"4.3"
"306",13,"Jacksonville Jaguars",JAC,"3.4"
"307",13,"Todd Gurley II",FA,"9.2"
"308",13,"Ian Thomas",CAR,"1.3"
"309",13,"Graham Gano",NYG,"8.3"
"310",13,"Zane Gonzalez",FA,"8.2"
"311",13,"Austin Seibert",CIN,"5.4"
"312",13,"Stephen Gostkowski",FA,"7.9"
"313",13,"D'Wayne Eskridge",SEA,"0"
"314",13,"Xavier Jones",LAR,"0.0"
"315",13,"Atlanta Falcons",ATL,"4.5"
"316",13,"Donovan Peoples-Jones",CLE,"3.7"
"317",13,"Marquez Callaway",NO,"1.9"
"318",13,"Duke Johnson Jr.",FA,"5.1"
"319",13,"Tyrod Taylor",HOU,"4.5"
"320",13,"DeeJay Dallas",SEA,"3.3"
"321",13,"Andy Isabella",ARI,"2.6"
"322",13,"Brian Hill",TEN,"4.4"
"323",13,"Rex Burkhead",HOU,"8.3"
"324",13,"Mo Alie-Cox",IND,"3.3"
"325",13,"Dalton Schultz",DAL,"5.2"
"326",13,"Eno Benjamin",ARI,"0"
"327",13,"Dyami Brown",WAS,"0"
"328",13,"Carolina Panthers",CAR,"6.2"
"329",13,"Will Dissly",SEA,"2.3"
"330",13,"Mac Jones",NE,"0"
"331",13,"Justice Hill",BAL,"0.7"
"332",13,"Jordan Howard",PHI,"4.2"
"333",13,"Miles Boykin",BAL,"3.2"
"334",13,"Jalen Richard",LV,"2.5"
"335",14,"Jordan Akins",HOU,"3.6"
"336",14,"Ito Smith",FA,"2.9"
"337",14,"Kalen Ballage",PIT,"5.9"
"338",14,"Cairo Santos",CHI,"8.7"
"339",14,"Donald Parham Jr.",LAC,"2.6"
"340",14,"Demarcus Robinson",KC,"4.2"
"341",14,"John Ross",NYG,"0.6"
"342",14,"Greg Ward",PHI,"5.0"
"343",14,"Olamide Zaccheaus",ATL,"3.0"
"344",14,"C.J. Uzomah",CIN,"7.3"
"345",14,"Dan Bailey",FA,"5.6"
"346",14,"Byron Pringle",KC,"2.3"
"347",14,"Jordan Wilkins",IND,"3.3"
"348",14,"Houston Texans",HOU,"2.6"
"349",14,"David Njoku",CLE,"2.6"
"350",14,"Pat Freiermuth",PIT,"0"
"351",14,"Andy Dalton",CHI,"13.1"
"352",14,"Adrian Peterson",FA,"7.0"
"353",14,"Peyton Barber",WAS,"3.2"
"354",14,"Mike Boone",DEN,"0.8"
"355",14,"Harrison Bryant",CLE,"2.5"
"356",14,"Larry Rountree III",LAC,"0"
"357",14,"Cody Parkey",CLE,"7.3"
"358",14,"Elijah Mitchell",SF,"0"
"359",14,"Qadree Ollison",ATL,"0.1"
"360",14,"Chris Thompson",FA,"2.8"
"361",14,"Jermar Jefferson",DET,"0"
"362",14,"Cordarrelle Patterson",ATL,"3.0"
"363",14,"Tyler Eifert",FA,"3.1"
"364",14,"Steven Sims Jr.",WAS,"2.5"
"365",14,"Jalen Guyton",LAC,"4.3"
"366",14,"Lynn Bowden Jr.",MIA,"2.6"
"367",14,"Sam Sloman",PIT,"6.9"
"368",14,"Josh Palmer",LAC,"0"
"369",14,"Chris Evans",CIN,"0"
"370",14,"Golden Tate",FA,"4.3"
"371",14,"Drew Sample",CIN,"2.4"
"372",14,"Randy Bullock",DET,"8.3"
"373",14,"Dede Westbrook",MIN,"-0.8"
"374",14,"Albert Okwuegbunam",DEN,"4.5"
"375",14,"Detroit Lions",DET,"1.8"
"376",14,"Jake Funk",LAR,"0"
"377",14,"Deonte Harris",NO,"3.1"
"378",14,"Tyler Conklin",MIN,"1.6"
"379",14,"Antonio Gandy-Golden",WAS,"0.4"
"380",14,"Nick Folk",NE,"7.7"
"381",14,"Danny Amendola",FA,"4.3"
"382",14,"Las Vegas Raiders",LV,"2.7"
"383",14,"Royce Freeman",DEN,"1.6"
"384",14,"Larry Fitzgerald",FA,"3.6"
"385",14,"Bryce Love",FA,"0"
"386",14,"Evan McPherson",CIN,"0"
"387",14,"Cincinnati Bengals",CIN,"2.8"
"388",14,"Tyler Johnson",TB,"2.1"
"389",14,"Jacob Hollister",BUF,"2.6"
"390",14,"Tutu Atwell",LAR,"0"
"391",14,"Dare Ogunbowale",JAC,"1.4"
"392",14,"Kylin Hill",GB,"0"
"393",15,"Dez Fitzpatrick",TEN,"0"
"394",15,"Adam Humphries",WAS,"5.0"
"395",15,"Alshon Jeffery",FA,"2.5"
"396",15,"Tylan Wallace",BAL,"0"
"397",15,"Cameron Brate",TB,"2.5"
"398",15,"Devine Ozigbo",JAC,"0.5"
"399",15,"Brevin Jordan",HOU,"0"
"400",15,"Cornell Powell",KC,"0"
"401",15,"Devin Duvernay",BAL,"2.1"
"402",15,"Jalen Hurd",SF,"0"
"403",15,"Khalil Herbert",CHI,"0"
"404",15,"Greg Joseph",MIN,"0"
"405",15,"Tucker McCann",TEN,"0"
"406",15,"Maxx Williams",ARI,"1.8"
"407",15,"Jordan Love",GB,"0"
"408",15,"Collin Johnson",JAC,"2.9"
"409",15,"Foster Moreau",LV,"1.6"
"410",15,"Gardner Minshew II",JAC,"18.3"
"411",15,"Davis Mills",HOU,"0"
"412",15,"Auden Tate",CIN,"1.7"
"413",15,"Frank Gore",FA,"5.6"
"414",15,"Mitchell Trubisky",BUF,"16.2"
"415",15,"Alex Collins",SEA,"6.7"
"416",15,"Gerrid Doaks",MIA,"0"
"417",15,"Jacob Harris",LAR,"0"
"418",15,"Hunter Long",MIA,"0"
"419",15,"Chris Conley",HOU,"3.8"
"420",15,"Sam Ficken",TEN,"6.0"
"421",15,"Dazz Newsome",CHI,"0"
"422",15,"Noah Gray",KC,"0"
"423",15,"Darwin Thompson",KC,"2.0"
"424",15,"David Moore",CAR,"5.2"
"425",15,"Kene Nwangwu",MIN,"0"
"426",15,"Raymond Calais",LAR,"0.0"
"427",15,"LeSean McCoy",FA,"1.3"
"428",15,"Tim Tebow",JAC,"0"
"429",15,"Cam Sims",WAS,"3.4"
"430",15,"James O'Shaughnessy",JAC,"1.7"
"431",15,"Ryan Griffin",NYJ,"0.6"
"432",15,"Anthony Schwartz",CLE,"0"
"433",15,"J.J. Arcega-Whiteside",PHI,"1.3"
"434",15,"Geoff Swaim",TEN,"1.4"
"435",15,"Tyler Kroft",NYJ,"3.0"
"436",15,"Lil'Jordan Humphrey",NO,"3.5"
"437",15,"Richard Rodgers",PHI,"3.3"
"438",15,"Taylor Heinicke",WAS,"11.7"
"439",15,"Jaret Patterson",WAS,"0"
"440",15,"Ryquell Armstead",FA,"0"
"441",15,"Braxton Berrios",NYJ,"3.8"
"442",15,"Jace Sternberger",GB,"1.4"
"443",15,"Ihmir Smith-Marsette",MIN,"0"
"444",15,"Dion Lewis",FA,"2.4"
"445",15,"Mohamed Sanu",SF,"2.7"
"446",15,"Darren Fells",DET,"3.5"
"447",15,"Devonta Freeman",NO,"5.8"
"448",15,"Devin Funchess",GB,"0"
"449",15,"Ameer Abdullah",MIN,"1.4"
"450",15,"Kenny Stills",BUF,"2.0"
"451",15,"Kahale Warring",HOU,"0.5"
"452",15,"Jeremy McNichols",TEN,"2.0"
"453",15,"Kyle Juszczyk",SF,"3.9"
"454",15,"Equanimeous St. Brown",GB,"1.5"
"455",15,"Olabisi Johnson",MIN,"1.3"
"456",15,"Zay Jones",LV,"1.4"
"457",15,"Brycen Hopkins",LAR,"0.0"
"458",15,"Isaiah McKenzie",BUF,"4.3"
"459",15,"Jakeem Grant Sr.",MIA,"3.7"
"460",15,"Damiere Byrd",CHI,"4.2"
"461",15,"Tommy Tremble",CAR,"0"
"462",16,"Marcus Mariota",LV,"26.8"
"463",16,"Jaylen Samuels",PIT,"0.5"
"464",16,"Trey Burton",FA,"4.3"
"465",16,"Kelvin Harmon",WAS,"0"
"466",16,"Gary Brightwell",NYG,"0"
"467",16,"Nick Boyle",BAL,"2.6"
"468",16,"Jacob Eason",IND,"0"
"469",16,"Willie Snead IV",LV,"4.7"
"470",16,"Freddie Swain",SEA,"1.7"
"471",16,"Aldrick Rosas",JAC,"6.5"
"472",16,"Stevie Scott III",NO,"0"
"473",16,"Josh Oliver",BAL,"0"
"474",16,"Travis Homer",SEA,"2.6"
"475",16,"Richie James Jr.",SF,"3.8"
"476",16,"Ty Montgomery",NO,"2.1"
"477",16,"Chase McLaughlin",CLE,"5.0"
"478",16,"Andrew Jacas",SF,"0"
"479",16,"D'Onta Foreman",FA,"2.7"
"480",16,"Kenny Yeboah",NYJ,"0"
"481",16,"Nick Vannett",NO,"1.0"
"482",16,"Trayveon Williams",CIN,"1.7"
"483",16,"Sage Surratt",DET,"0"
"484",16,"Shi Smith",CAR,"0"
"485",16,"JaMycal Hasty",SF,"3.0"
"486",16,"Cedrick Wilson",DAL,"2.2"
"487",16,"Chris Manhertz",JAC,"0.3"
"488",16,"Frank Darby",ATL,"0"
"489",16,"Hunter Bryant",DET,"0.9"
"490",16,"Pooka Williams Jr.",CIN,"0"
"491",16,"Adam Shaheen",MIA,"2.1"
"492",16,"Albert Wilson",MIA,"0"
"493",16,"Chad Beebe",MIN,"2.1"
"494",16,"Trenton Cannon",CAR,"0.4"
"495",16,"Tre' McKitty",LAC,"0"
"496",16,"Tajae Sharpe",ATL,"0.0"
"497",16,"C.J. Ham",MIN,"1.2"
"498",16,"Jaelon Darden",TB,"0"
"499",16,"Trey Ragas",LV,"0"
"500",16,"Demetric Felton",CLE,"0"
"501",16,"Kylen Granson",IND,"0"
"502",16,"Josiah Deguara",GB,"0.6"
"503",16,"Ross Dwelley",SF,"1.9"
"504",16,"Blake Bell",KC,"0.7"
"505",16,"Michael Burton",KC,"0.3"
"506",16,"Nick Foles",CHI,"12.5"
"507",16,"Patrick Ricard",BAL,"0.5"
"508",16,"Dwayne Haskins",PIT,"10.7"
