PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS","AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS"
"74",8,"Kenyan Drake",BAL,"8.5","5.3","21.2","0.2","3.3","2.5","24.3","0.1"
"75",8,"Myles Gaskin",MIA,"10.2","10.2","36.0","0.2","3.7","2.9","13.8","0.2"
"76",8,"Matt Breida",NYG,"6.1","3.7","17.9","0.1","1.3","1.0","10.3","0.3"
"77",8,"Trey Sermon",FA,"4.7","6.8","27.8","0.2","0.7","0.5","4.3","0.0"
"78",8,"Marlon Mack",HOU,"2.1","4.7","16.8","0.0","0.8","0.3","1.3","0.0"
"79",8,"Joshua Kelley",LAC,"2.1","4.1","12.8","0.0","0.8","0.6","4.8","0.0"
"80",8,"Chris Evans",CIN,"5.5","1.9","8.6","0.0","1.9","1.7","16.8","0.2"
"81",8,"Hassan Haskins",TEN,"0","0","0","0","0","0","0","0"
"82",8,"Ke'Shawn Vaughn",TB,"6.1","6.0","30.0","0.3","1.3","0.7","4.3","0.0"
"83",8,"Kyren Williams",LAR,"0","0","0","0","0","0","0","0"
"84",8,"Giovani Bernard",TB,"5.9","0.8","5.8","0.0","2.9","2.3","12.3","0.3"
"85",8,"Ty Johnson",NYJ,"7.8","4.1","15.9","0.1","3.7","2.3","24.8","0.1"
"86",8,"Pierre Strong Jr.",NE,"0","0","0","0","0","0","0","0"
"87",8,"Ameer Abdullah",LV,"5.3","3.0","9.8","0.0","3.1","2.2","17.0","0.1"
"88",9,"Dontrell Hilliard",TEN,"9.1","7.0","43.8","0.3","3.3","2.4","10.9","0.0"
"89",9,"Salvon Ahmed",MIA,"3.5","4.9","13.5","0.0","1.7","1.1","10.6","0.0"
"90",9,"Jerome Ford",CLE,"0","0","0","0","0","0","0","0"
"91",9,"Darrynton Evans",CHI,"1.9","1.0","3.5","0.0","1.0","1.0","5.5","0.0"
"92",9,"Phillip Lindsay",FA,"3.2","6.3","17.8","0.1","0.4","0.3","3.2","0.1"
"93",9,"Justin Jackson",DET,"6.2","4.9","26.0","0.1","1.8","1.6","12.7","0.0"
"94",9,"Snoop Conner",JAC,"0","0","0","0","0","0","0","0"
"95",9,"Duke Johnson Jr.",BUF,"11.8","14.2","66.0","0.6","1.0","0.8","8.2","0.0"
"96",9,"Tevin Coleman",FA,"4.7","7.6","32.4","0.0","1.5","1.0","4.5","0.0"
"97",9,"Jaylen Warren",PIT,"0","0","0","0","0","0","0","0"
"98",9,"Jaret Patterson",WAS,"4.0","4.9","19.0","0.1","0.9","0.7","5.2","0.0"
"99",9,"Ty Montgomery",NE,"2.1","1.1","3.1","0.0","1.9","1.1","6.8","0.0"
"100",9,"DeeJay Dallas",SEA,"3.5","1.9","8.1","0.1","1.4","1.2","7.8","0.0"
"101",9,"Tyler Badie",BAL,"0","0","0","0","0","0","0","0"
"102",9,"Keaontay Ingram",ARI,"0","0","0","0","0","0","0","0"
"103",9,"Travis Homer",SEA,"4.4","1.5","12.6","0.1","1.4","1.1","11.5","0.0"
"104",9,"Kene Nwangwu",MIN,"2.6","1.4","6.8","0.0","0.6","0.4","1.0","0.0"
"105",9,"Malcolm Brown",FA,"3.8","5.5","20.8","0.2","0.8","0.5","1.7","0.0"
"106",9,"David Johnson",FA,"6.3","5.2","17.5","0.0","3.2","2.5","17.3","0.1"
"107",10,"Benny Snell Jr.",PIT,"0.8","2.3","6.1","0.0","0.3","0.1","0.8","0.0"
"108",10,"Latavius Murray",FA,"7.4","8.5","35.8","0.4","0.9","0.7","5.4","0.0"
"109",10,"Brandon Bolden",LV,"7.8","2.8","14.1","0.1","3.1","2.6","25.3","0.1"
"110",10,"Devontae Booker",FA,"9.0","9.1","37.1","0.1","2.8","2.5","16.8","0.1"
"111",10,"Devonta Freeman",FA,"9.2","8.3","36.0","0.3","2.6","2.1","11.9","0.1"
"112",10,"Craig Reynolds",DET,"7.0","11.0","46.0","0.0","1.6","1.4","10.4","0.0"
"113",10,"Trestan Ebner",CHI,"0","0","0","0","0","0","0","0"
"114",10,"Wayne Gallman Jr.",FA,"1.5","3.1","11.6","0.0","0.3","0.1","2.3","0.0"
"115",10,"Tony Jones Jr.",NO,"2.2","5.4","14.2","0.0","0.8","0.5","2.9","0.0"
"116",10,"Mike Boone",DEN,"2.6","1.3","11.7","0.0","0.7","0.7","7.3","0.0"
"117",10,"Anthony McFarland Jr.",PIT,"0.8","1.0","1.0","0.0","0.3","0.3","3.7","0.0"
"118",10,"Kylin Hill",GB,"0.5","1.3","3.0","0.0","0.3","0.1","0.6","0.0"
"119",10,"Ty Chandler",MIN,"0","0","0","0","0","0","0","0"
"120",10,"Demetric Felton Jr.",CLE,"3.4","0.5","1.6","0.0","1.4","1.2","12.1","0.1"
"121",10,"Larry Rountree III",FA,"1.6","3.6","8.7","0.1","0.2","0.1","-0.1","0.0"
"122",10,"Justice Hill",BAL,"0","0","0","0","0","0","0","0"
"123",10,"Kyle Juszczyk",SF,"4.9","0.5","1.5","0.1","2.5","2.0","19.7","0.1"
"124",10,"Abram Smith",FA,"0","0","0","0","0","0","0","0"
"125",10,"Dare Ogunbowale",HOU,"3.9","3.3","10.5","0.1","1.6","1.0","8.8","0.1"
"126",10,"Jermar Jefferson",FA,"5.1","3.0","14.8","0.4","1.0","0.8","4.6","0.0"
"127",10,"Rico Dowdle",DAL,"0","0","0","0","0","0","0","0"
"128",10,"Derrick Gore",FA,"7.0","6.4","32.0","0.3","1.1","1.0","13.1","0.0"
"129",10,"JaMycal Hasty",JAC,"4.5","1.5","6.2","0.1","2.6","2.1","14.3","0.0"
"130",10,"Jake Funk",LAR,"0.1","0.4","1.0","0.0","0.0","0.0","0.0","0.0"
"131",11,"Kevin Harris",NE,"0","0","0","0","0","0","0","0"
"132",11,"Gary Brightwell",NYG,"0.3","0.1","0.6","0.0","0.1","0.1","0.9","0.0"
"133",11,"Jordan Mason",SF,"0","0","0","0","0","0","0","0"
"134",11,"Jordan Howard",FA,"8.9","12.3","58.0","0.4","0.7","0.3","2.7","0.0"
"135",11,"Royce Freeman",HOU,"2.9","4.7","14.1","0.0","1.3","0.8","6.4","0.0"
"136",11,"Kennedy Brooks",PHI,"0","0","0","0","0","0","0","0"
"137",11,"Carlos Hyde",FA,"3.8","6.0","21.1","0.1","1.8","1.0","5.4","0.0"
"138",11,"Jeremy McNichols",PIT,"5.7","3.2","12.0","0.0","2.9","2.2","18.5","0.1"
"139",11,"C.J. Ham",MIN,"2.2","0.5","2.3","0.0","1.2","1.1","8.3","0.0"
"140",11,"Qadree Ollison",DAL,"3.3","3.5","17.5","0.2","1.0","0.7","2.0","0.0"
"141",11,"Deon Jackson",IND,"1.8","2.6","6.2","0.2","0.0","0.0","0.0","0.0"
"142",11,"Trayveon Williams",FA,"1.6","3.8","12.8","0.0","0.5","0.3","1.0","0.0"
"143",11,"Patrick Ricard",BAL,"2.6","0.3","0.5","0.0","1.6","1.0","7.9","0.1"
"144",11,"Tarik Cohen",FA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"145",11,"Jashaun Corbin",NYG,"0","0","0","0","0","0","0","0"
"146",11,"Julius Chestnut",TEN,"0","0","0","0","0","0","0","0"
"147",11,"Zonovan Knight",NYJ,"0","0","0","0","0","0","0","0"
"148",11,"Keith Smith",ATL,"1.4","0.7","2.4","0.0","0.8","0.7","4.3","0.0"
"149",11,"Le'Veon Bell",FA,"4.8","4.9","12.6","0.3","0.9","0.6","3.8","0.1"
"150",11,"Antonio Williams",NYG,"0","0","0","0","0","0","0","0"
"151",11,"Sincere McCormick",LV,"0","0","0","0","0","0","0","0"
"152",11,"Godwin Igwebuike",FA,"1.2","1.2","7.9","0.1","0.7","0.5","4.0","0.0"
"153",11,"Patrick Taylor Jr.",GB,"3.4","4.6","17.8","0.2","0.4","0.4","0.6","0.0"
"154",11,"Jonathan Williams",WAS,"4.1","3.4","15.8","0.2","1.2","0.8","5.6","0.0"
"155",11,"Jonathan Ward",ARI,"1.1","1.0","3.7","0.0","0.4","0.3","3.8","0.0"
"156",11,"Ty'Son Williams",FA,"5.2","4.4","23.1","0.1","1.5","1.1","10.5","0.0"
"157",11,"Jerrion Ealy",KC,"0","0","0","0","0","0","0","0"
"158",11,"Dwayne Washington",FA,"0.6","0.5","2.0","0.0","0.3","0.3","1.5","0.0"
"159",11,"J.J. Taylor",NE,"3.7","3.8","7.4","0.4","0.8","0.8","1.6","0.0"
"160",11,"Alec Ingold",MIA,"3.5","0.3","0.1","0.0","1.7","1.4","12.1","0.1"
"161",11,"La'Mical Perine",PHI,"1.6","4.0","15.5","0.0","0.0","0.0","0.0","0.0"
"162",12,"Jakob Johnson",LV,"1.2","0.0","0.0","0.0","0.7","0.6","6.1","0.0"
"163",12,"Kalen Ballage",FA,"0.7","1.3","4.0","0.0","0.8","0.2","0.9","0.0"
"164",12,"Khari Blasingame",CHI,"0.2","0.6","1.2","0.0","0.4","0.4","0.8","0.0"
"165",12,"Ryquell Armstead",FA,"6.3","7.5","40.0","0.0","2.0","1.5","8.0","0.0"
"166",12,"Michael Burton",KC,"1.5","0.8","2.6","0.1","0.3","0.3","3.1","0.0"
"167",12,"Derek Watt",PIT,"0.4","0.1","0.1","0.0","0.3","0.3","1.4","0.0"
"168",12,"Alex Collins",FA,"6.3","9.8","37.4","0.2","0.9","0.8","7.9","0.0"
"169",12,"Jonathan Ward",FA,"0","0","0","0","0","0","0","0"
"170",12,"John Kelly Jr.",CLE,"1.3","2.0","13.0","0.0","0.0","0.0","0.0","0.0"
"171",12,"Jason Huntley",FA,"5.1","13.0","51.0","0.0","1.0","0.0","0.0","0.0"
"172",12,"Caleb Huntley",ATL,"0","0","0","0","0","0","0","0"
"173",12,"Tory Carter",TEN,"0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0"
"174",12,"Devine Ozigbo",DEN,"0.7","0.5","-1.5","0.0","0.5","0.5","3.5","0.0"
"175",12,"Reggie Gilliam",BUF,"0.7","0.4","0.4","0.0","0.6","0.4","2.9","0.0"
"176",12,"Zander Horvath",LAC,"0","0","0","0","0","0","0","0"
"177",12,"Tyler Goodson",GB,"0","0","0","0","0","0","0","0"
"178",12,"Javian Hawkins",TEN,"0","0","0","0","0","0","0","0"
"179",12,"D'Vonte Price",IND,"0","0","0","0","0","0","0","0"
"180",12,"Taiwan Jones",BUF,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"181",12,"Adam Prentice",NO,"1.0","0.6","1.0","0.0","0.6","0.6","3.2","0.0"
"182",12,"Jalen Richard",FA,"2.6","1.0","4.4","0.0","1.6","1.3","8.0","0.0"
"183",12,"ZaQuandre White",MIA,"0","0","0","0","0","0","0","0"
"184",12,"Jordan Wilkins",FA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"185",12,"Darius Bradwell",FA,"0.0","0.0","0.0","0.0","0.5","0.0","0.0","0.0"
"186",12,"Mataeo Durant",FA,"0","0","0","0","0","0","0","0"
"187",12,"Trenton Cannon",TEN,"-0.2","0.3","0.4","0.0","0.0","0.0","0.0","0.0"
"188",12,"Kenjon Barner",TB,"0.0","1.3","0.0","0.0","0.0","0.0","0.0","0.0"
"189",12,"Adrian Peterson",FA,"6.7","9.5","24.5","0.5","1.0","1.0","2.0","0.0"
"190",12,"Raheem Blackshear",BUF,"0","0","0","0","0","0","0","0"
"191",12,"Aaron Shampklin",FA,"0","0","0","0","0","0","0","0"
"192",12,"Gabe Nabers",FA,"0.8","0.4","1.1","0.0","0.4","0.4","2.4","0.0"
"193",12,"Chad Simpson",WAS,"0","0","0","0","0","0","0","0"
"194",12,"Pooka Williams Jr.",FA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"195",12,"Max Borghi",FA,"0","0","0","0","0","0","0","0"
"196",12,"Greg Bell",FA,"0","0","0","0","0","0","0","0"
"197",12,"Brittain Brown",LV,"0","0","0","0","0","0","0","0"
"198",13,"Xavier Jones",FA,"0","0","0","0","0","0","0","0"
"199",13,"Peyton Barber",FA,"5.0","5.5","21.2","0.2","1.3","1.0","6.7","0.0"
"200",13,"Malik Davis",DAL,"0","0","0","0","0","0","0","0"
"201",13,"John Lovett",CAR,"0","0","0","0","0","0","0","0"
"202",13,"Kerryon Johnson",FA,"0","0","0","0","0","0","0","0"
"203",13,"Mekhi Sargent",JAC,"0.2","1.0","2.2","0.0","0.2","0.0","0.0","0.0"
"204",13,"Ronnie Rivers",FA,"0","0","0","0","0","0","0","0"
"205",13,"Nate McCrary",FA,"-0.1","1.0","-1.0","0.0","0.0","0.0","0.0","0.0"
"206",13,"Zonovan Knight",NYJ,"0","0","0","0","0","0","0","0"
"207",13,"Nathan Cottrell",FA,"0.1","0.3","1.0","0.0","0.0","0.0","0.0","0.0"
"208",13,"Sandro Platzgummer",NYG,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"209",13,"Josh Johnson",SEA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"210",13,"Ryan Nall",FA,"0.4","0.2","0.8","0.0","0.2","0.2","0.8","0.0"
"211",13,"Gerrid Doaks",FA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"212",13,"Andy Janovich",FA,"2.0","0.3","0.0","0.2","0.7","0.5","1.5","0.0"
"213",13,"Brian Hill",FA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"214",13,"CJ Verdell",FA,"0","0","0","0","0","0","0","0"
"215",13,"Spencer Brown",CAR,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"216",13,"JaQuan Hardy",FA,"4.5","2.0","14.5","0.5","0.0","0.0","0.0","0.0"
"217",13,"Bryant Koback",MIN,"0","0","0","0","0","0","0","0"
"218",13,"Jaylen Samuels",FA,"1.8","1.7","3.0","0.0","1.3","1.0","4.7","0.0"
"219",13,"Ricky Person Jr.",FA,"0","0","0","0","0","0","0","0"
"220",13,"Patrick Laird",TB,"1.7","0.3","1.3","0.0","1.0","1.0","5.7","0.0"
"221",13,"Darwin Thompson",SEA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"222",13,"Leddie Brown",FA,"0","0","0","0","0","0","0","0"
"223",13,"BJ Baylor",FA,"0","0","0","0","0","0","0","0"
"224",13,"Tayon Fleet-Davis",FA,"0","0","0","0","0","0","0","0"
"225",13,"Elijah Holyfield",CIN,"0","0","0","0","0","0","0","0"
