POS_RK,POS_TIERS,PLAYER NAME,TEAM,FAN PTS
69,7,COLE TURNER,WAS,12
70,7,DREW SAMPLE,CIN,28.3
71,8,CONNOR HEYWARD,PIT,16.7
72,8,ROBERT TONYAN,MIN,11.2
73,8,PHARAOH BROWN,SEA,24.8
74,8,JORDAN AKINS,CLE,13.2
75,8,IRV SMITH,FA,15.5
76,8,ELIJAH HIGGINS,ARI,22.3
77,8,TIP REIMAN,ARI,0
78,8,AJ BARNER,SEA,0
79,8,BRENTON STRANGE,JAC,9.5
80,8,LUKE FARRELL,JAC,15.5
81,8,HARRISON BRYANT,LV,24.9
82,8,PAYNE DURHAM,TB,5.8
83,8,STONE SMARTT,LAC,21.5
84,8,IAN THOMAS,CAR,5.6
85,8,MYCOLE PRUITT,PIT,17
86,8,JOHN BATES,WAS,15.1
87,8,PEYTON HENDERSHOT,FA,3.8
88,8,ANDREW OGLETREE,IND,26.7
89,8,CHARLIE WOERNER,ATL,3.2
90,8,ROSS DWELLEY,ATL,1.2
91,8,CHARLIE KOLAR,BAL,14.7
92,9,DALLIN HOLKER,NO,0
93,9,ALBERT OKWUEGBUNAM,PHI,0
94,9,KO KIEFT,TB,6.2
95,9,GRANT CALCATERRA,PHI,3.9
96,9,ZACK KUNTZ,NYJ,0
97,9,TANNER MCLACHLAN,CIN,0
98,9,HUNTER LONG,LAR,0
99,9,JULIAN HILL,MIA,2.8
100,9,NICK VANNETT,TEN,0.3
101,9,JAMES MITCHELL,DET,2.8
102,9,CAMERON LATU,SF,0
103,9,QUINTIN MORRIS,BUF,8.6
104,9,DEVIN CULP,TB,0
105,9,CHRIS MANHERTZ,NYG,1.6
106,9,BEN SIMS,GB,8.1
107,9,JACK STOLL,FA,3.8
108,9,KENNY YEBOAH,NYJ,2.8
109,9,ANDREW BECK,FA,27.8
110,9,TEAGAN QUITORIANO,FA,3.3
111,9,JOSIAH DEGUARA,FA,6.5
112,9,JOE FORTSON,FA,0
113,9,STEPHEN SULLIVAN,FA,12.5
114,9,JOHN FITZPATRICK,ATL,1.2
115,9,MITCHELL WILCOX,FA,5.6
116,9,BRAYDEN WILLIS,SF,0
117,9,ERIC SAUBERT,SF,1.2
118,9,DANIEL MARX,FA,0
119,9,TYLER MABRY,SEA,0
120,10,NATE ADKINS,DEN,2.2
121,10,JESPER HORSTED,FA,0.4
122,10,NICK GUGGEMOS,FA,0
123,10,TUCKER FISK,LAC,0.9
124,10,CJ UZOMAH,FA,11.8
125,10,EJ JENKINS,PHI,0
126,10,MARCEDES LEWIS,CHI,8.9
127,10,TYLER KROFT,FA,0
128,10,JACK WESTOVER,SEA,0
129,10,GEOFF SWAIM,FA,9.4
130,10,RODNEY WILLIAMS,PIT,0
131,10,DYLAN PARHAM,FA,0
132,10,SEAN MCKEON,DET,0
133,10,TIM BOYLE,FA,0
134,10,TREVON WESCO,FA,2.1
135,10,ZACH DAVIDSON,BUF,0
136,10,BRADY RUSSELL,SEA,0
137,10,GIOVANNI RICCI,FA,0.2
138,10,ZACH GENTRY,LV,0
139,10,BREVYN SPANN-FORD,DAL,0
140,10,BLAKE BELL,FA,6.6
141,10,STEPHEN CARLSON,FA,0
142,10,MICHAEL JACOBSON,NO,0
143,10,BRYSON SUMLIN,FA,0
144,10,JIMMY GRAHAM,FA,27.9
145,10,MORAL STEPHENS,FA,0
146,10,TOMMY HUDSON,NO,0
147,10,TOMMY SWEENEY,FA,0
148,10,ANTHONY FIRKSER,NYJ,0
149,10,NOAH TOGIAI,FA,0
150,10,THOMAS YASSMIN,DEN,0
151,10,TRAVIS VOKOLEK,ARI,0
152,10,TYLER DAVIS,GB,0
153,10,CURTIS HODGES,FA,0
154,10,ERIC TOMLINSON,IND,0
155,11,SHANE ZYLSTRA,FA,0
156,11,ZAC PARKER,FA,0
157,11,BRYCEN HOPKINS,FA,7.8
158,11,COLE FOTHERINGHAM,LV,0.6
159,11,THOMAS ODUKOYA,TEN,0
160,11,TYREE JACKSON,FA,0
161,11,ARMANI ROGERS,PHI,0
162,11,BLAKE WHITEHEART,ARI,0
163,11,TANNER CONNER,MIA,0
164,11,JACOB HARRIS,PHI,0
165,11,DAVID WELLS,TB,-1
166,11,TY JAMES,FA,0
167,11,KEVIN RADER,NO,0.6
168,11,TREY KNOX,MIN,0
